,Onya Doug,Favreau,Vanity Bay,Roclea Ruler,Raani,The Weekend,Artful Master,Yarraman Rocky,Courageous Sam
11-01-2023 17:43:18.088839,"(4.0, 6.4, 6.133333333333334)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 171.66666666666669)","(71.0, 190.0, 158.75)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:19.142030,"(4.0, 6.4, 6.2444444444444445)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 171.66666666666669)","(71.0, 190.0, 158.75)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:20.191302,"(4.0, 6.4, 6.15)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 171.66666666666669)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:21.258517,"(4.0, 6.4, 6.050000000000001)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 171.66666666666669)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:22.505365,"(4.0, 6.4, 6.050000000000001)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:23.758957,"(4.0, 6.4, 5.6)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:24.950497,"(4.0, 6.4, 5.6)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:26.142990,"(4.0, 6.4, 5.6)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:27.274450,"(4.0, 6.4, 5.6)","(3.4, 4.5, 4.0)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.15)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 6.542857142857143)"
11-01-2023 17:43:28.434407,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 6.542857142857143)"
11-01-2023 17:43:29.719755,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 6.542857142857143)"
11-01-2023 17:43:30.880837,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 6.542857142857143)"
11-01-2023 17:43:32.128742,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 6.542857142857143)"
