,Elusive Eagle,Swan Island,Arthur In Charge,Turboart,Wait A Minute,Dont Diss Around,The Power Of One,Expensive To Keep,Secret Cash,Got The Lot
05-01-2023 16:37:33.072872,"(10.0, 12.0, 11.5)","(21.0, 27.0, 25.666666666666668)","(8.0, 12.5, 10.88888888888889)","(2.9, 3.9, 3.835483870967742)","(51.0, 170.0, 149.0)","(4.8, 5.6, 5.591666666666667)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 19.666666666666668)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:34.546300,"(10.0, 12.0, 11.5)","(21.0, 27.0, 25.666666666666668)","(8.0, 12.5, 11.181818181818182)","(2.9, 3.9, 3.835483870967742)","(51.0, 170.0, 149.0)","(4.8, 5.6, 5.591666666666667)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 19.666666666666668)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:35.930518,"(10.0, 12.0, 11.5)","(21.0, 27.0, 25.666666666666668)","(8.0, 12.5, 11.181818181818182)","(2.9, 3.9, 3.835483870967742)","(51.0, 170.0, 149.0)","(4.8, 5.6, 5.597297297297297)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 19.666666666666668)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:37.298504,"(10.0, 12.0, 11.5)","(21.0, 27.0, 25.666666666666668)","(8.0, 12.5, 11.181818181818182)","(2.9, 3.9, 3.835483870967742)","(51.0, 170.0, 149.0)","(4.8, 5.6, 5.597297297297297)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 19.666666666666668)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:38.688652,"(10.0, 12.0, 11.5)","(21.0, 27.0, 25.666666666666668)","(8.0, 12.5, 11.181818181818182)","(2.9, 3.9, 3.8203703703703704)","(51.0, 170.0, 149.0)","(4.8, 5.6, 5.602777777777778)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 19.666666666666668)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:40.067551,"(10.0, 12.0, 11.5)","(21.0, 27.0, 25.666666666666668)","(8.0, 12.5, 11.181818181818182)","(2.9, 3.85, 3.8203703703703704)","(51.0, 170.0, 149.0)","(4.8, 5.7, 5.602777777777778)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 19.666666666666668)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:41.451533,"(10.0, 12.0, 11.5)","(21.0, 27.0, 25.666666666666668)","(8.0, 12.5, 11.181818181818182)","(2.9, 3.85, 3.8203703703703704)","(51.0, 170.0, 149.0)","(4.8, 5.7, 5.602777777777778)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 19.666666666666668)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:42.857192,"(10.0, 12.0, 11.5)","(21.0, 27.0, 25.666666666666668)","(8.0, 12.5, 11.181818181818182)","(2.9, 3.8, 3.7777777777777777)","(51.0, 170.0, 149.0)","(4.8, 5.7, 5.602777777777778)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 18.333333333333332)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:44.185062,"(10.0, 12.0, 11.5)","(21.0, 27.0, 26.0)","(8.0, 12.5, 11.291666666666666)","(2.9, 3.8, 3.7777777777777777)","(51.0, 170.0, 149.0)","(4.8, 5.7, 5.602777777777778)","(17.0, 46.0, 34.631578947368425)","(11.0, 21.0, 18.333333333333332)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:45.481993,"(10.0, 12.0, 11.5)","(21.0, 27.0, 26.0)","(8.0, 12.5, 11.291666666666666)","(2.9, 3.8, 3.7777777777777777)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.602777777777778)","(17.0, 46.0, 22.0)","(11.0, 21.0, 19.833333333333332)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
