,Shes The Grouse,Learned Lesson,Spotted Bull,Pennys Jade,Caesars Palace
04-01-2023 11:26:39.553704,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:40.409058,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:41.222768,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:42.131287,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:43.089482,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:43.984461,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:44.828028,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:45.704223,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:46.616981,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:47.528243,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:48.609526,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:49.686976,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:50.699901,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:51.789056,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
