,Call Me Thor,Pretty Reef,Wild Assassin,Will She Stay,Kelseys Girl,Interfere,Alvin Delight
15-12-2022 11:28:40.257462,"(2.3, 2.96, 2.67)","(3.9, 5.9, 4.723076923076923)","(4.0, 6.6, 5.841666666666667)","(7.0, 12.0, 11.018181818181818)","(10.0, 27.0, 17.333333333333332)","(10.0, 21.0, 15.272727272727273)","(61.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:41.330374,"(2.3, 2.96, 2.9072727272727272)","(3.9, 5.9, 4.723076923076923)","(4.0, 6.6, 5.841666666666667)","(7.0, 12.0, 11.018181818181818)","(10.0, 27.0, 13.666666666666666)","(10.0, 21.0, 15.272727272727273)","(61.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:42.372913,"(2.3, 2.96, 2.9072727272727272)","(3.9, 5.9, 4.723076923076923)","(4.0, 6.6, 5.841666666666667)","(7.0, 12.0, 11.018181818181818)","(10.0, 27.0, 13.666666666666666)","(10.0, 21.0, 15.272727272727273)","(61.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:43.397996,"(2.3, 2.96, 2.9072727272727272)","(3.9, 5.9, 4.723076923076923)","(4.0, 6.6, 5.841666666666667)","(7.0, 12.0, 11.018181818181818)","(10.0, 27.0, 13.666666666666666)","(10.0, 21.0, 15.272727272727273)","(61.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:44.432342,"(2.3, 2.96, 2.9072727272727272)","(3.9, 5.9, 5.5600000000000005)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 12.48)","(10.0, 27.0, 13.666666666666666)","(10.0, 21.0, 15.272727272727273)","(61.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:45.561148,"(2.3, 2.96, 2.9072727272727272)","(3.9, 5.9, 5.5600000000000005)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 12.48)","(10.0, 27.0, 17.333333333333332)","(10.0, 21.0, 15.272727272727273)","(61.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:46.650397,"(2.3, 2.96, 2.9072727272727272)","(3.9, 5.9, 5.5600000000000005)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 12.48)","(10.0, 27.0, 17.333333333333332)","(10.0, 21.0, 15.272727272727273)","(61.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:47.736673,"(2.25, 2.96, 2.9072727272727272)","(4.0, 5.9, 5.5600000000000005)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 12.48)","(11.0, 27.0, 17.333333333333332)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:48.813650,"(2.25, 2.96, 2.67)","(4.0, 5.9, 5.5600000000000005)","(4.0, 6.6, 5.2875)","(7.0, 13.5, 12.48)","(11.0, 27.0, 17.333333333333332)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:49.839609,"(2.25, 2.96, 2.67)","(4.0, 4.9, 4.511111111111111)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 12.48)","(11.0, 27.0, 19.53333333333333)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:50.869236,"(2.25, 2.96, 2.67)","(4.0, 4.9, 4.5)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.54)","(11.0, 27.0, 19.53333333333333)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:51.836065,"(2.25, 2.96, 2.67)","(4.0, 4.9, 4.5)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.7)","(11.0, 27.0, 19.53333333333333)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:52.891299,"(2.25, 2.96, 2.67)","(4.0, 5.9, 5.36)","(4.0, 6.6, 4.655555555555555)","(7.0, 13.5, 11.381818181818181)","(11.0, 27.0, 19.53333333333333)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:54.008770,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 4.655555555555555)","(7.0, 14.0, 11.381818181818181)","(11.0, 27.0, 19.53333333333333)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:55.062706,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 4.655555555555555)","(7.0, 13.5, 11.8875)","(11.0, 27.0, 19.53333333333333)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:56.022551,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 4.655555555555555)","(7.0, 13.5, 11.8875)","(11.0, 27.0, 19.53333333333333)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:57.008837,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 11.742857142857144)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:57.970898,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 12.27)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:58.959211,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 12.27)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:28:59.980036,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 12.27)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:00.918465,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.2875)","(7.0, 13.5, 12.27)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:01.952572,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.2875)","(7.0, 13.5, 12.27)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:02.879560,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.607692307692307)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:03.806038,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.607692307692307)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:04.740630,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.154545454545454)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:05.700109,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.85625)","(7.0, 13.5, 11.040000000000001)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:06.587295,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.85625)","(7.0, 13.5, 11.040000000000001)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:07.494087,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.85625)","(7.0, 13.5, 11.040000000000001)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:08.479171,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.85625)","(7.0, 13.5, 10.661538461538463)","(11.0, 27.0, 20.066666666666666)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
