,Bertas Babe,Special Thunder,Bellas Blessed,Underwater,Tiki Bar,Go Girl,Futures Changed,Alpha Humbug
10-01-2023 16:03:43.014677,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:44.396371,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:45.787719,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:47.020101,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:48.323331,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:49.691458,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:51.001419,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:52.174453,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:53.353989,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:54.667609,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:55.803620,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:57.095386,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:58.451263,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:03:59.616573,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:00.737368,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:01.896250,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:03.027820,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:04.143389,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
