,Betcha By Golly,Sheriffs Kid,Dulcimer Dame,China Cat,Magic In Me,Sax,Marketability
06-01-2023 09:20:05.065740,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:06.034393,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:06.982742,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:07.956323,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:08.928719,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:09.904802,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:10.932593,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:11.955056,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:12.985598,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:13.981255,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
