,Mighty Night,Little Mac,Tah Ash,Nitro Cannon,Brookes Girl,Monos Spirit,Monos Typhoon,Tah Darcy
10-01-2023 11:26:44.589877,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.9000000000000004)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:26:45.602505,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.9000000000000004)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:26:46.614729,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.9000000000000004)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:26:47.654657,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.9000000000000004)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:26:48.690081,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.9000000000000004)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:26:49.854085,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.9000000000000004)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:26:50.929174,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.9000000000000004)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:26:52.023487,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:26:53.114622,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 550.8333333333334)"
10-01-2023 11:26:54.151468,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
