,Wong Way,Joint Forces,Saturday Vibes,Lady Luna,Wisheart,Bellas In Command,Dream Luv,Heros Choice,Talk Crazy
08-12-2022 14:32:01.284427,"(1.95, 2.38, 2.3219354838709676)","(17.0, 40.0, 36.0)","(2.5, 2.62, 2.59)","(13.0, 20.0, 19.0)","(26.0, 130.0, 86.66666666666667)","(101.0, 360.0, 240.0)","(26.0, 95.0, 66.8)","(15.0, 28.0, 25.142857142857142)","(10.0, 26.0, 23.0)"
08-12-2022 14:32:02.418971,"(1.95, 2.38, 2.3219354838709676)","(17.0, 40.0, 36.0)","(2.5, 2.6, 2.59)","(13.0, 19.5, 19.0)","(26.0, 130.0, 86.66666666666667)","(101.0, 360.0, 240.0)","(26.0, 95.0, 70.45454545454545)","(15.0, 28.0, 23.333333333333332)","(10.0, 26.0, 23.0)"
08-12-2022 14:32:03.539252,"(1.95, 2.34, 2.3266666666666667)","(17.0, 40.0, 36.0)","(2.5, 2.6, 2.59)","(13.0, 19.5, 19.0)","(26.0, 130.0, 86.66666666666667)","(101.0, 360.0, 240.0)","(26.0, 95.0, 70.45454545454545)","(15.0, 28.0, 23.333333333333332)","(10.0, 26.0, 23.0)"
08-12-2022 14:32:04.638369,"(1.95, 2.34, 2.3266666666666667)","(17.0, 40.0, 36.0)","(2.5, 2.6, 2.59)","(13.0, 19.5, 19.0)","(26.0, 130.0, 86.66666666666667)","(101.0, 360.0, 240.0)","(26.0, 95.0, 70.45454545454545)","(15.0, 28.0, 23.333333333333332)","(10.0, 26.0, 23.0)"
08-12-2022 14:32:05.785035,"(1.95, 2.34, 2.3266666666666667)","(17.0, 40.0, 36.0)","(2.5, 2.6, 2.59)","(13.0, 19.5, 19.0)","(26.0, 130.0, 86.66666666666667)","(101.0, 360.0, 240.0)","(26.0, 95.0, 70.45454545454545)","(15.0, 28.0, 23.333333333333332)","(10.0, 26.0, 23.0)"
08-12-2022 14:32:07.003997,"(1.95, 2.34, 2.3266666666666667)","(17.0, 40.0, 36.0)","(2.5, 2.6, 2.59)","(13.0, 19.5, 18.25423728813559)","(26.0, 130.0, 100.0)","(101.0, 360.0, 240.0)","(26.0, 95.0, 77.0)","(15.0, 28.0, 22.333333333333332)","(10.0, 26.0, 23.77777777777778)"
08-12-2022 14:32:08.157702,"(1.95, 2.34, 2.327272727272727)","(17.0, 40.0, 38.0)","(2.5, 2.58, 2.5527272727272727)","(13.0, 20.0, 18.75423728813559)","(26.0, 130.0, 100.0)","(101.0, 360.0, 240.0)","(26.0, 95.0, 77.0)","(15.0, 28.0, 22.333333333333332)","(10.0, 26.0, 23.77777777777778)"
08-12-2022 14:32:09.337714,"(1.95, 2.34, 2.327272727272727)","(17.0, 42.0, 40.666666666666664)","(2.5, 2.58, 2.5585714285714287)","(13.0, 20.0, 18.75423728813559)","(26.0, 130.0, 100.0)","(101.0, 360.0, 240.0)","(26.0, 95.0, 79.0)","(15.0, 28.0, 22.333333333333332)","(10.0, 26.0, 23.77777777777778)"
08-12-2022 14:32:10.604130,"(1.95, 2.34, 2.327272727272727)","(17.0, 48.0, 39.833333333333336)","(2.5, 2.58, 2.5585714285714287)","(13.0, 20.0, 18.75423728813559)","(26.0, 130.0, 100.0)","(101.0, 360.0, 240.0)","(26.0, 95.0, 79.0)","(15.0, 28.0, 22.333333333333332)","(10.0, 26.0, 23.77777777777778)"
08-12-2022 14:32:11.780415,"(1.95, 2.34, 2.327272727272727)","(17.0, 46.0, 39.45454545454545)","(2.5, 2.58, 2.5585714285714287)","(13.0, 20.0, 18.75423728813559)","(26.0, 130.0, 100.0)","(101.0, 360.0, 240.0)","(26.0, 95.0, 79.0)","(15.0, 28.0, 22.333333333333332)","(10.0, 26.0, 23.77777777777778)"
08-12-2022 14:32:12.921286,"(1.95, 2.34, 2.323050847457627)","(18.0, 46.0, 39.0)","(2.4, 2.58, 2.5585714285714287)","(13.0, 20.0, 18.75423728813559)","(26.0, 130.0, 100.0)","(101.0, 360.0, 240.0)","(26.0, 95.0, 79.0)","(15.0, 28.0, 25.0)","(10.0, 26.0, 23.77777777777778)"
08-12-2022 14:32:13.972145,"(1.95, 2.34, 2.3114285714285714)","(18.0, 46.0, 39.0)","(2.4, 2.58, 2.5585714285714287)","(13.0, 20.0, 18.75423728813559)","(26.0, 130.0, 100.0)","(101.0, 360.0, 240.0)","(26.0, 95.0, 79.0)","(15.0, 36.0, 31.363636363636363)","(10.0, 26.0, 24.076923076923077)"
08-12-2022 14:32:15.012577,"(1.95, 2.34, 2.313333333333333)","(18.0, 46.0, 39.0)","(2.4, 2.58, 2.5425)","(13.0, 20.0, 18.710526315789473)","(26.0, 130.0, 82.85714285714286)","(101.0, 360.0, 240.0)","(26.0, 95.0, 75.9090909090909)","(15.0, 34.0, 31.363636363636363)","(10.0, 26.0, 24.076923076923077)"
08-12-2022 14:32:16.156807,"(1.95, 2.34, 2.313333333333333)","(18.0, 46.0, 39.0)","(2.4, 2.52, 2.504)","(13.0, 20.0, 19.155172413793103)","(26.0, 130.0, 82.85714285714286)","(101.0, 360.0, 240.0)","(26.0, 95.0, 75.9090909090909)","(15.0, 34.0, 22.857142857142858)","(10.0, 26.0, 24.076923076923077)"
08-12-2022 14:32:17.379365,"(1.95, 2.34, 2.313333333333333)","(18.0, 46.0, 39.0)","(2.4, 2.56, 2.513584905660377)","(13.0, 20.0, 19.155172413793103)","(26.0, 130.0, 82.85714285714286)","(101.0, 360.0, 240.0)","(26.0, 95.0, 75.9090909090909)","(15.0, 34.0, 24.0)","(10.0, 26.0, 24.076923076923077)"
