,Eight Gifts,Nick The Quick,Dashing Daph,Ferocious Barbie,River Raging,Velocity Lara
07-12-2022 18:46:10.018964,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:11.174707,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:12.409152,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:13.591129,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:14.700981,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:15.850926,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:17.094146,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:18.303625,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:19.486886,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:20.721172,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:21.951780,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
