,Mammals Destiny,Twin Connection,Sporty Frank,Illawong Phillipa,Golden Jaylet,Im The Mighty Judd,Footlock,Indys Approval,Ima Workinclassman
09-01-2023 16:15:40.745459,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:42.087378,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:43.391900,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:44.703048,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:46.112240,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:47.412872,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:48.851170,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:50.257963,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:51.707707,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:53.035611,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:54.387613,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:55.812135,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:57.329635,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:15:58.789565,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:00.341874,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
