,On Tilt,Salt Mine Teddy,Bahamian Beat,Cant Glide By Katz,Verrazano Legacy,War Doctor,Payster,No More,Golden Oak,Vaporized
07-12-2022 13:23:24.160503,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.64814814814815)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 4.152)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.8625)","(5.0, 6.4, 6.1375)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:25.423391,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.64814814814815)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 4.152)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.8625)","(5.0, 6.4, 5.933333333333334)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:26.698500,"(31.0, 230.0, 69.2)","(13.0, 25.0, 23.5)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 4.18)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.933333333333334)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:28.063729,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.055555555555557)","(15.0, 29.0, 23.75)","(4.4, 4.6, 4.18)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.933333333333334)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:29.427064,"(31.0, 230.0, 96.0)","(13.0, 25.0, 22.333333333333332)","(15.0, 29.0, 24.0)","(4.4, 4.6, 3.853333333333333)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.933333333333334)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:30.726829,"(31.0, 230.0, 96.0)","(13.0, 25.0, 23.0)","(15.0, 29.0, 24.0)","(4.4, 4.6, 3.853333333333333)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.933333333333334)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:32.096497,"(31.0, 230.0, 96.0)","(13.0, 25.0, 24.595238095238095)","(15.0, 29.0, 24.0)","(4.4, 4.6, 4.152)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.933333333333334)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:33.546444,"(31.0, 230.0, 96.0)","(13.0, 25.0, 24.595238095238095)","(15.0, 29.0, 25.5)","(4.4, 4.6, 4.02)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.933333333333334)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:34.851957,"(31.0, 230.0, 96.0)","(13.0, 25.0, 22.714285714285715)","(15.0, 29.0, 24.0)","(4.4, 4.7, 4.057777777777778)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.875)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:36.075774,"(31.0, 230.0, 96.0)","(13.0, 25.0, 22.714285714285715)","(15.0, 29.0, 24.5)","(4.4, 4.7, 4.057777777777778)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.875)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:37.285641,"(31.0, 230.0, 96.0)","(13.0, 25.0, 22.5)","(15.0, 30.0, 24.5)","(4.4, 4.7, 4.057777777777778)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.875)","(15.0, 30.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:38.530318,"(31.0, 230.0, 96.0)","(13.0, 25.0, 24.0625)","(15.0, 30.0, 24.5)","(4.4, 4.7, 4.057777777777778)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.875)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:39.922899,"(31.0, 230.0, 96.0)","(13.0, 25.0, 24.0625)","(15.0, 30.0, 25.0)","(4.4, 4.7, 3.75)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.875)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:41.229477,"(31.0, 230.0, 96.0)","(13.0, 25.0, 24.0625)","(15.0, 30.0, 24.0)","(4.4, 3.8, 3.6932203389830507)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.33125)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.875)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:42.615535,"(31.0, 230.0, 96.0)","(13.0, 25.0, 24.0625)","(15.0, 30.0, 24.0)","(4.4, 4.7, 3.6932203389830507)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.33125)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.875)","(15.0, 29.0, 21.666666666666668)","(15.0, 29.0, 22.125)"
07-12-2022 13:23:43.947274,"(31.0, 230.0, 96.66666666666667)","(13.0, 25.0, 24.0625)","(15.0, 32.0, 21.785714285714285)","(4.4, 4.7, 3.66)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.33125)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.4, 5.977777777777778)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:23:45.211554,"(31.0, 230.0, 96.0)","(13.0, 25.0, 24.0625)","(15.0, 32.0, 20.3)","(4.4, 4.7, 3.66)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.33125)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.2, 5.977777777777778)","(15.0, 30.0, 19.916666666666668)","(15.0, 30.0, 24.75)"
07-12-2022 13:23:46.534484,"(31.0, 230.0, 70.0)","(13.0, 25.0, 22.5)","(15.0, 32.0, 21.88888888888889)","(4.4, 4.7, 3.7375)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.133333333333333)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.2, 5.977777777777778)","(15.0, 32.0, 19.916666666666668)","(15.0, 30.0, 24.75)"
07-12-2022 13:23:47.775235,"(31.0, 230.0, 70.0)","(13.0, 25.0, 22.5)","(15.0, 32.0, 21.6)","(4.4, 4.6, 3.7375)","(21.0, 70.0, 36.33333333333333)","(5.0, 8.8, 8.899999999999999)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.2, 5.977777777777778)","(15.0, 32.0, 19.916666666666668)","(15.0, 30.0, 24.5)"
07-12-2022 13:23:49.131497,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.53125)","(15.0, 32.0, 21.6)","(4.4, 4.6, 3.9000000000000004)","(21.0, 70.0, 36.33333333333333)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.2, 5.977777777777778)","(15.0, 32.0, 20.4)","(15.0, 30.0, 24.5)"
07-12-2022 13:23:50.551183,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.53125)","(15.0, 32.0, 20.8)","(4.4, 4.5, 3.9000000000000004)","(21.0, 70.0, 36.33333333333333)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.7800000000000002)","(5.0, 6.2, 5.977777777777778)","(15.0, 32.0, 20.4)","(15.0, 30.0, 24.5)"
07-12-2022 13:23:51.934462,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.53125)","(15.0, 32.0, 21.2)","(4.4, 4.5, 4.0)","(21.0, 70.0, 36.33333333333333)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.9333333333333336)","(5.0, 6.2, 5.91875)","(15.0, 32.0, 24.5)","(15.0, 30.0, 24.5)"
07-12-2022 13:23:53.200589,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.53125)","(15.0, 32.0, 21.2)","(4.4, 4.5, 4.0)","(21.0, 70.0, 37.33333333333333)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.9333333333333336)","(5.0, 6.4, 5.91875)","(15.0, 32.0, 20.8)","(15.0, 30.0, 25.0)"
07-12-2022 13:23:54.621123,"(31.0, 230.0, 71.6)","(13.0, 25.0, 24.53125)","(15.0, 32.0, 21.6)","(4.4, 4.5, 4.0)","(21.0, 70.0, 36.66666666666667)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.9333333333333336)","(5.0, 6.4, 5.91875)","(15.0, 32.0, 20.4)","(15.0, 30.0, 24.75)"
07-12-2022 13:23:55.974526,"(31.0, 230.0, 70.0)","(13.0, 25.0, 24.53125)","(15.0, 28.0, 23.5)","(4.4, 4.5, 4.0)","(21.0, 70.0, 36.66666666666667)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.9333333333333336)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 30.0, 24.75)"
07-12-2022 13:23:57.514535,"(31.0, 230.0, 70.0)","(13.0, 25.0, 24.642857142857142)","(15.0, 28.0, 23.5)","(4.4, 4.5, 3.87)","(21.0, 70.0, 36.66666666666667)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.814285714285714)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 30.0, 21.0625)"
07-12-2022 13:23:59.348206,"(31.0, 230.0, 70.0)","(13.0, 25.0, 24.53125)","(15.0, 28.0, 23.25)","(4.4, 4.5, 3.87)","(21.0, 70.0, 36.66666666666667)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.814285714285714)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 32.0, 24.75)"
07-12-2022 13:24:00.933072,"(31.0, 230.0, 70.0)","(13.0, 25.0, 22.833333333333332)","(15.0, 28.0, 23.5)","(4.4, 4.5, 3.675)","(21.0, 70.0, 36.66666666666667)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 30.0, 24.75)"
07-12-2022 13:24:02.519302,"(31.0, 230.0, 70.0)","(13.0, 25.0, 22.833333333333332)","(15.0, 28.0, 22.333333333333332)","(4.4, 4.5, 3.675)","(21.0, 70.0, 36.66666666666667)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 30.0, 24.75)"
07-12-2022 13:24:03.871462,"(31.0, 230.0, 70.0)","(13.0, 25.0, 22.833333333333332)","(15.0, 28.0, 23.5)","(4.4, 4.5, 3.675)","(19.0, 70.0, 36.66666666666667)","(5.0, 9.2, 8.899999999999999)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 30.0, 26.333333333333332)"
07-12-2022 13:24:05.312434,"(31.0, 230.0, 70.0)","(13.0, 25.0, 22.833333333333332)","(15.0, 28.0, 21.2)","(4.4, 4.5, 3.8971153846153843)","(19.0, 70.0, 36.66666666666667)","(5.0, 9.2, 9.8)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 30.0, 26.333333333333332)"
07-12-2022 13:24:06.583001,"(31.0, 230.0, 70.0)","(13.0, 25.0, 22.833333333333332)","(15.0, 28.0, 21.333333333333332)","(4.4, 4.5, 3.8971153846153843)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 30.0, 26.333333333333332)"
07-12-2022 13:24:07.839363,"(31.0, 230.0, 70.0)","(13.0, 25.0, 22.833333333333332)","(15.0, 28.0, 23.0)","(4.4, 4.5, 3.718421052631579)","(19.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.8)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 19.571428571428573)","(15.0, 30.0, 26.333333333333332)"
07-12-2022 13:24:09.116322,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.27777777777778)","(15.0, 28.0, 23.25)","(4.4, 4.5, 3.718421052631579)","(19.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.8)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 32.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:10.437145,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.27777777777778)","(15.0, 28.0, 21.666666666666668)","(4.4, 4.5, 3.8938775510204082)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:11.919315,"(31.0, 230.0, 70.0)","(14.0, 25.0, 24.27777777777778)","(15.0, 28.0, 22.0)","(4.4, 4.5, 3.8938775510204082)","(19.0, 70.0, 37.33333333333333)","(5.0, 10.0, 9.8)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:13.342127,"(31.0, 230.0, 73.2)","(14.0, 25.0, 24.27777777777778)","(15.0, 28.0, 21.2)","(4.4, 4.5, 3.8938775510204082)","(19.0, 70.0, 38.0)","(5.0, 10.0, 9.8)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:14.635888,"(31.0, 230.0, 73.2)","(14.0, 25.0, 24.27777777777778)","(15.0, 28.0, 22.4)","(4.4, 4.5, 3.8938775510204082)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 4.0, 3.618181818181818)","(5.0, 6.4, 6.0888888888888895)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:15.953272,"(31.0, 230.0, 70.0)","(14.0, 25.0, 24.27777777777778)","(15.0, 28.0, 22.666666666666668)","(4.4, 4.5, 4.20952380952381)","(19.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.8)","(3.3, 4.0, 3.7666666666666666)","(5.0, 6.4, 6.0)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:17.319141,"(31.0, 230.0, 96.0)","(14.0, 25.0, 24.535714285714285)","(15.0, 28.0, 22.666666666666668)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.7666666666666666)","(5.0, 6.4, 6.0)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:18.870722,"(31.0, 230.0, 96.0)","(14.0, 25.0, 24.535714285714285)","(15.0, 28.0, 22.666666666666668)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.838888888888889)","(5.0, 6.4, 6.0)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:20.240662,"(31.0, 230.0, 96.0)","(14.0, 25.0, 23.0)","(15.0, 28.0, 22.666666666666668)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.7)","(5.0, 6.4, 6.0)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:21.828651,"(31.0, 230.0, 96.0)","(14.0, 25.0, 23.0)","(15.0, 28.0, 24.0)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:23.273236,"(31.0, 230.0, 96.0)","(14.0, 25.0, 23.0)","(15.0, 30.0, 24.0)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:24.777840,"(31.0, 230.0, 96.0)","(14.0, 25.0, 23.0)","(15.0, 30.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:26.095864,"(31.0, 230.0, 96.0)","(14.0, 25.0, 23.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:27.332541,"(31.0, 230.0, 96.0)","(14.0, 25.0, 23.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:28.606839,"(31.0, 230.0, 96.0)","(14.0, 25.0, 24.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:29.891353,"(31.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(19.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:31.131041,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(17.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:32.526999,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(17.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:33.903665,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(17.0, 70.0, 50.0)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:35.232879,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(17.0, 70.0, 50.0)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:36.812011,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 4.20952380952381)","(17.0, 70.0, 50.0)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.666666666666668)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:38.359947,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.91219512195122)","(17.0, 70.0, 50.0)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 30.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:39.701831,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.91219512195122)","(17.0, 70.0, 36.66666666666667)","(5.0, 10.0, 9.8)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:41.049673,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.91219512195122)","(17.0, 70.0, 37.33333333333333)","(5.0, 10.0, 9.85)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:42.325083,"(26.0, 230.0, 69.2)","(14.0, 25.0, 24.0)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.91219512195122)","(17.0, 70.0, 37.33333333333333)","(5.0, 10.0, 9.85)","(3.3, 3.95, 3.6760869565217393)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:43.682210,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.837037037037037)","(17.0, 70.0, 38.0)","(5.0, 10.0, 9.85)","(3.3, 3.95, 3.7750000000000004)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:45.065254,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.837037037037037)","(17.0, 70.0, 57.25)","(5.0, 10.0, 9.85)","(3.3, 3.95, 3.7750000000000004)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:46.268691,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.837037037037037)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.7750000000000004)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:47.586685,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.837037037037037)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.716666666666667)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:48.798867,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.9555555555555557)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.716666666666667)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 30.0, 23.4)"
07-12-2022 13:24:50.050813,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.9555555555555557)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.716666666666667)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:24:51.410751,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.9555555555555557)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.716666666666667)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:24:52.827487,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 21.0, 20.133333333333333)","(4.4, 4.4, 3.9555555555555557)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.716666666666667)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:24:54.249562,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 30.0, 26.0)","(4.4, 4.4, 3.9555555555555557)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.716666666666667)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:24:55.576652,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 30.0, 26.0)","(4.4, 4.4, 3.9555555555555557)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.716666666666667)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
07-12-2022 13:24:56.963267,"(26.0, 230.0, 69.2)","(14.0, 25.0, 22.25)","(15.0, 30.0, 26.0)","(4.4, 4.4, 4.092307692307693)","(17.0, 70.0, 36.33333333333333)","(5.0, 10.0, 9.76)","(3.3, 3.95, 3.716666666666667)","(5.0, 6.4, 5.91)","(15.0, 29.0, 21.333333333333332)","(15.0, 29.0, 24.0)"
