,Daphs Yak,Master Class,Lucas Jebrynah,Show Me Ziway,Aubameyang,Call Me Marley,Maxed Out,Ali Starr
07-12-2022 19:26:22.388271,"(4.4, 10.5, 9.440000000000001)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 24.5)"
07-12-2022 19:26:23.525088,"(4.4, 9.8, 8.88)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 22.142857142857142)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 24.5)"
07-12-2022 19:26:24.648897,"(4.4, 9.8, 8.88)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 20.8)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 22.625)"
07-12-2022 19:26:25.666579,"(4.4, 9.8, 8.88)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 20.8)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 22.625)"
07-12-2022 19:26:26.723923,"(4.4, 9.8, 8.88)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 20.8)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 22.625)"
07-12-2022 19:26:27.736824,"(4.4, 9.8, 6.872727272727273)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 21.0)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 25.142857142857142)"
07-12-2022 19:26:28.816762,"(4.4, 9.8, 7.244444444444445)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 21.0)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 25.142857142857142)"
07-12-2022 19:26:29.821334,"(4.4, 9.8, 7.244444444444445)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 21.0)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 25.142857142857142)"
07-12-2022 19:26:31.134468,"(4.4, 9.2, 8.399999999999999)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9)"
07-12-2022 19:26:32.204183,"(4.4, 9.2, 8.399999999999999)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9)"
07-12-2022 19:26:33.294067,"(4.4, 9.2, 8.399999999999999)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9)"
07-12-2022 19:26:34.339272,"(4.4, 9.2, 8.399999999999999)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 25.464285714285715)"
07-12-2022 19:26:35.781971,"(4.4, 9.2, 8.399999999999999)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 25.464285714285715)"
07-12-2022 19:26:36.978523,"(4.4, 9.2, 8.399999999999999)","(26.0, 170.0, 124.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9)"
07-12-2022 19:26:38.009980,"(4.4, 10.5, 9.440000000000001)","(26.0, 170.0, 103.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9)"
07-12-2022 19:26:39.089866,"(4.4, 9.8, 8.88)","(26.0, 170.0, 103.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.214285714285715)"
07-12-2022 19:26:40.138078,"(4.4, 9.8, 8.88)","(26.0, 170.0, 103.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 22.423076923076923)"
07-12-2022 19:26:41.283782,"(4.4, 9.8, 8.88)","(26.0, 170.0, 103.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 41.45454545454545)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 22.423076923076923)"
07-12-2022 19:26:42.291148,"(4.4, 9.8, 8.88)","(26.0, 170.0, 103.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 40.25)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 22.423076923076923)"
07-12-2022 19:26:43.470463,"(4.4, 9.8, 8.3)","(26.0, 170.0, 50.888888888888886)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 43.30769230769231)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 21.125)"
07-12-2022 19:26:44.634661,"(4.4, 9.8, 8.3)","(26.0, 170.0, 50.888888888888886)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 43.30769230769231)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 21.125)"
