,Sasha,Oratoria,Some Change Nz,Blazing Banner Nz,Rocknroll Times,Scared Stiff Nz,The Banker Nz,Lifeinthebalance,Im In Trouble,Are Doubleyou
06-01-2023 16:27:28.761646,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 11.033333333333333)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:30.234057,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:31.780011,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:33.351010,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:35.110200,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:36.729685,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:38.336330,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:39.862496,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:41.360276,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:42.774163,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
