,Zabellsareringing,Poppie Socks,Pride Of Dixie,Sharp Pride,Side Cash,Cellar Champ,Driving Ambition,Emmjay,Les Goh,Iron Ruler,Lonhro Lily,Military Manoeuver,Siasha Jewel,Grosses Plain
05-01-2023 13:33:10.899640,"(9.0, 11.5, 10.3)","(81.0, 200.0, 140.0)","(21.0, 36.0, 34.421052631578945)","(31.0, 60.0, 59.0)","(26.0, 44.0, 40.8)","(12.0, 14.0, 13.966666666666667)","(101.0, 230.0, 210.0)","(8.5, 12.0, 11.842105263157894)","(5.0, 6.0, 5.905629139072848)","(12.0, 17.5, 16.772727272727273)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.707042253521127)","(4.4, 5.4, 5.348837209302325)","(71.0, 95.0, 92.27272727272727)"
05-01-2023 13:33:13.056565,"(9.0, 11.5, 10.227272727272727)","(81.0, 170.0, 136.36363636363637)","(21.0, 36.0, 34.333333333333336)","(31.0, 60.0, 58.18181818181818)","(26.0, 44.0, 40.8)","(12.0, 14.0, 13.935897435897436)","(101.0, 230.0, 210.0)","(8.5, 12.0, 11.47872340425532)","(5.0, 6.0, 5.904040404040404)","(12.0, 17.5, 16.454545454545453)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.6482758620689655)","(4.4, 5.4, 5.3319148936170215)","(71.0, 95.0, 90.0)"
05-01-2023 13:33:14.887812,"(9.0, 11.5, 10.227272727272727)","(81.0, 150.0, 129.0909090909091)","(21.0, 36.0, 34.333333333333336)","(31.0, 60.0, 58.18181818181818)","(26.0, 44.0, 41.42857142857143)","(12.0, 14.0, 13.935897435897436)","(101.0, 230.0, 210.0)","(8.5, 11.5, 11.685714285714285)","(5.0, 6.0, 5.904040404040404)","(12.0, 17.0, 16.454545454545453)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.6482758620689655)","(4.4, 5.4, 5.326315789473684)","(71.0, 95.0, 92.27272727272727)"
05-01-2023 13:33:16.718679,"(9.0, 11.5, 10.339024390243903)","(81.0, 140.0, 129.0909090909091)","(21.0, 36.0, 34.333333333333336)","(31.0, 60.0, 58.18181818181818)","(26.0, 42.0, 41.18181818181818)","(12.0, 14.0, 13.935897435897436)","(101.0, 230.0, 210.0)","(8.5, 12.0, 11.75)","(5.0, 6.0, 5.904040404040404)","(12.0, 17.0, 15.966666666666667)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.555555555555555)","(4.4, 5.4, 5.332258064516129)","(71.0, 95.0, 92.27272727272727)"
05-01-2023 13:33:18.548106,"(9.0, 11.5, 10.339024390243903)","(81.0, 140.0, 187.27272727272725)","(21.0, 36.0, 34.333333333333336)","(31.0, 60.0, 58.18181818181818)","(26.0, 42.0, 41.18181818181818)","(12.0, 14.0, 13.935897435897436)","(101.0, 230.0, 210.0)","(8.5, 12.0, 11.733333333333333)","(5.0, 6.0, 5.903716216216217)","(12.0, 17.5, 15.966666666666667)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.461538461538462)","(4.4, 5.4, 5.356338028169014)","(71.0, 95.0, 90.0)"
05-01-2023 13:33:20.413317,"(9.0, 11.5, 10.247368421052633)","(81.0, 220.0, 154.44444444444446)","(21.0, 36.0, 34.333333333333336)","(31.0, 60.0, 58.18181818181818)","(26.0, 42.0, 42.90909090909091)","(12.0, 14.0, 13.935897435897436)","(101.0, 230.0, 210.0)","(8.5, 12.0, 11.733333333333333)","(5.0, 6.0, 5.903716216216217)","(12.0, 17.5, 16.454545454545453)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.7095890410958905)","(4.4, 5.5, 5.356338028169014)","(71.0, 95.0, 92.27272727272727)"
05-01-2023 13:33:22.452545,"(9.0, 11.5, 10.247368421052633)","(81.0, 210.0, 176.66666666666669)","(21.0, 36.0, 34.69565217391305)","(31.0, 60.0, 58.18181818181818)","(26.0, 44.0, 40.75)","(12.0, 14.0, 13.935897435897436)","(101.0, 230.0, 217.5)","(8.5, 12.0, 11.724137931034482)","(5.0, 6.0, 5.903716216216217)","(12.0, 17.0, 16.772727272727273)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.648192771084338)","(4.4, 5.5, 5.411111111111111)","(71.0, 95.0, 92.27272727272727)"
05-01-2023 13:33:24.951113,"(9.0, 11.5, 10.247368421052633)","(81.0, 180.0, 150.0)","(21.0, 36.0, 34.69565217391305)","(31.0, 60.0, 58.18181818181818)","(26.0, 44.0, 40.60606060606061)","(12.0, 14.0, 13.935897435897436)","(101.0, 230.0, 217.5)","(8.5, 12.0, 11.724137931034482)","(5.0, 6.0, 5.903716216216217)","(12.0, 17.0, 16.0)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.66875)","(4.4, 5.5, 5.411111111111111)","(71.0, 95.0, 90.0)"
05-01-2023 13:33:26.844629,"(9.0, 11.5, 10.8)","(81.0, 180.0, 138.57142857142858)","(21.0, 36.0, 34.69565217391305)","(31.0, 60.0, 58.18181818181818)","(26.0, 44.0, 38.75)","(12.0, 14.0, 13.75)","(101.0, 230.0, 217.5)","(8.5, 12.0, 11.75)","(5.0, 6.0, 5.903061224489797)","(12.0, 17.0, 15.666666666666666)","(11.0, 15.5, 15.452380952380953)","(5.0, 6.8, 6.578947368421053)","(4.4, 5.5, 5.408474576271186)","(71.0, 100.0, 91.42857142857143)"
05-01-2023 13:33:28.783967,"(9.0, 11.0, 10.657142857142857)","(81.0, 160.0, 132.85714285714286)","(21.0, 36.0, 34.69565217391305)","(31.0, 60.0, 58.18181818181818)","(26.0, 40.0, 38.75)","(12.0, 14.0, 13.480392156862745)","(101.0, 230.0, 217.5)","(10.0, 12.0, 11.695652173913043)","(5.0, 6.0, 5.866666666666667)","(12.0, 17.5, 16.5)","(11.0, 15.5, 15.428571428571429)","(5.0, 6.8, 6.48)","(4.4, 5.5, 5.287142857142857)","(71.0, 100.0, 95.0)"
