,Allegro Love,Claws In Cobra,Big Time Violet,Adobe Underworld,Claws In Creed,Mad World,Elusive Alibi
06-01-2023 14:37:49.256404,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:50.261342,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:51.305388,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:52.326666,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:53.273533,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:54.295196,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:55.317513,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:56.476616,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:57.590402,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:58.589429,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:37:59.585729,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:38:00.609691,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:38:01.755631,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:38:02.898842,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:38:03.978195,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:38:05.047922,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:38:06.210854,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 31.07142857142857)"
06-01-2023 14:38:07.138563,"(6.0, 9.6, 8.778947368421052)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 21.0, 19.81818181818182)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 34.0, 30.136363636363637)"
06-01-2023 14:38:08.077922,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
06-01-2023 14:38:09.194044,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
06-01-2023 14:38:10.204214,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
06-01-2023 14:38:11.167062,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
06-01-2023 14:38:12.149898,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
