,Mr Blue Sky,Moth Rocks,Impress Browning,Claretown Ryan,Explosive Debt,Swift Robert,Roxy Ouzo,Fabs Udon
11-01-2023 19:23:07.559823,"(1.65, 1.98, 1.6591666666666667)","(8.0, 15.5, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.25)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:08.773610,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.375)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:10.057536,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.375)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:11.379946,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.375)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:12.637353,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:13.873293,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:15.058598,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:16.397549,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:17.742426,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:19.121226,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
