,Chloes China,Seriously Fly,Mr Bean,Little Winnie,Juice,Angry Betty,Sekola,My Names Judy
12-01-2023 10:24:54.300188,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:24:55.269480,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:24:56.422821,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:24:57.590305,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:24:58.702484,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:24:59.732035,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:00.862518,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:02.281185,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:03.505856,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:04.706307,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
