,Confusion,Tolkowsky,Valley Of Dreams,Gold Lunar,Silesian,Jumeirah Triangle
15-12-2022 13:33:02.122354,"(2.6, 3.4, 3.32)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 18.5, 16.1)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:03.102848,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 18.5, 16.1)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:04.008326,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 18.5, 16.1)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:05.005748,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 18.5, 17.75)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:05.991080,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.75)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:06.973705,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 19.5, 18.125)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:07.860434,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 18.125)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:08.816946,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 18.125)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:09.884131,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 18.125)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:10.894569,"(2.6, 3.35, 3.242857142857143)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 19.318181818181817)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:11.840993,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 19.318181818181817)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:12.776692,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 19.318181818181817)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:13.755060,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 19.318181818181817)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:14.715279,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 19.318181818181817)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:15.593491,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 20.0, 19.318181818181817)","(31.0, 85.0, 55.0)"
15-12-2022 13:33:16.566280,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.884615384615383)","(31.0, 85.0, 51.25)"
