,Confusion,Tolkowsky,Valley Of Dreams,Gold Lunar,Silesian,Jumeirah Triangle
15-12-2022 13:37:32.703604,"(2.6, 3.0, 2.8673684210526313)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.086153846153846)","(9.0, 13.0, 12.5)","(10.0, 18.5, 16.25)","(31.0, 70.0, 60.0)"
15-12-2022 13:37:33.636312,"(2.6, 2.98, 2.866315789473684)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.086153846153846)","(9.0, 13.0, 12.5)","(10.0, 18.5, 14.795454545454545)","(31.0, 70.0, 66.25)"
15-12-2022 13:37:34.614948,"(2.6, 2.98, 2.9523076923076923)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.0945454545454547)","(9.0, 12.5, 12.777777777777779)","(10.0, 17.5, 15.5)","(31.0, 70.0, 66.25)"
15-12-2022 13:37:35.606692,"(2.6, 3.0, 2.968235294117647)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.086153846153846)","(9.0, 13.0, 12.777777777777779)","(10.0, 17.0, 15.5)","(31.0, 70.0, 78.0)"
15-12-2022 13:37:36.495535,"(2.6, 3.0, 2.968235294117647)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.086153846153846)","(9.0, 13.0, 12.411764705882353)","(10.0, 17.0, 15.5)","(31.0, 90.0, 75.0)"
15-12-2022 13:37:37.372539,"(2.6, 3.0, 2.968235294117647)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.086153846153846)","(9.0, 13.0, 12.411764705882353)","(10.0, 17.0, 15.5)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:38.371676,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.086153846153846)","(9.0, 13.0, 12.411764705882353)","(10.0, 17.0, 15.5)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:39.348057,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.086153846153846)","(9.0, 13.0, 12.411764705882353)","(10.0, 17.0, 15.5)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:40.239280,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.5)","(2.5, 3.1, 3.086153846153846)","(9.0, 13.0, 12.411764705882353)","(10.0, 17.0, 15.5)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:41.180727,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.51875)","(2.5, 3.1, 3.0533333333333332)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 14.75)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:42.199318,"(2.6, 3.0, 2.975625)","(4.8, 5.8, 5.51875)","(2.5, 3.1, 3.097627118644068)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 14.75)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:43.145665,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.51875)","(2.5, 3.1, 3.0533333333333332)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 14.75)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:43.999456,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.51875)","(2.5, 3.1, 3.0766666666666667)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 14.75)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:44.967308,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.51875)","(2.5, 3.1, 3.0766666666666667)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 14.75)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:45.975706,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.51875)","(2.5, 3.1, 3.0766666666666667)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 14.75)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:46.929954,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.44)","(2.5, 3.1, 3.06)","(9.0, 12.0, 11.857142857142858)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:47.814611,"(2.6, 3.0, 2.975625)","(4.8, 5.8, 5.702702702702703)","(2.5, 3.1, 3.06)","(9.0, 12.0, 11.857142857142858)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:48.773167,"(2.6, 3.0, 2.975625)","(4.8, 5.8, 5.702702702702703)","(2.5, 3.1, 3.06)","(9.0, 12.0, 11.857142857142858)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:49.772153,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.44)","(2.5, 3.1, 3.06)","(9.0, 12.0, 11.857142857142858)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:50.731464,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.44)","(2.5, 3.1, 3.09)","(9.0, 12.0, 11.857142857142858)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:51.642569,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.702702702702703)","(2.5, 3.1, 3.09830985915493)","(9.0, 12.0, 11.857142857142858)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:52.591134,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.722857142857142)","(2.5, 3.1, 3.09)","(9.0, 12.0, 11.88888888888889)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:53.556205,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.44)","(2.5, 3.1, 3.09)","(9.0, 12.0, 11.88888888888889)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:54.443852,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.523076923076923)","(2.5, 3.1, 3.09)","(9.0, 12.0, 11.88888888888889)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:55.312871,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.523076923076923)","(2.5, 3.1, 3.09)","(9.0, 12.0, 11.88888888888889)","(10.0, 16.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:56.350872,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.53)","(2.5, 3.1, 3.066666666666667)","(9.0, 12.0, 11.88888888888889)","(10.0, 16.0, 13.833333333333334)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:57.357535,"(2.6, 3.0, 2.9731034482758623)","(4.8, 5.8, 5.53)","(2.5, 3.1, 3.066666666666667)","(9.0, 12.0, 11.88888888888889)","(10.0, 15.5, 13.357142857142858)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:58.322897,"(2.6, 3.0, 2.975625)","(4.8, 5.8, 5.53)","(2.5, 3.1, 3.066666666666667)","(9.0, 12.0, 11.88888888888889)","(10.0, 15.5, 13.357142857142858)","(31.0, 85.0, 75.0)"
15-12-2022 13:37:59.206353,"(2.6, 3.0, 2.975625)","(4.8, 5.8, 5.53)","(2.5, 3.1, 3.066666666666667)","(9.0, 12.0, 11.88888888888889)","(10.0, 15.5, 13.357142857142858)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:00.199284,"(2.6, 3.0, 2.971111111111111)","(4.8, 5.9, 5.848387096774194)","(2.5, 3.1, 3.0914285714285716)","(9.0, 12.0, 11.857142857142858)","(10.0, 15.5, 12.928571428571429)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:01.154541,"(2.6, 3.0, 2.9675)","(4.8, 5.9, 5.722222222222222)","(2.5, 3.1, 3.088)","(9.0, 12.0, 11.857142857142858)","(10.0, 15.5, 12.75)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:02.033460,"(2.6, 3.0, 2.9675)","(4.8, 5.9, 5.855555555555556)","(2.5, 3.1, 3.093684210526316)","(9.0, 12.0, 11.857142857142858)","(10.0, 15.0, 12.708333333333334)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:02.980261,"(2.6, 3.0, 2.9675)","(4.8, 5.9, 5.66)","(2.5, 3.1, 3.088888888888889)","(9.0, 12.0, 11.857142857142858)","(10.0, 14.5, 13.166666666666666)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:04.005480,"(2.6, 3.05, 3.028888888888889)","(4.8, 5.9, 5.722222222222222)","(2.5, 3.1, 3.0914285714285716)","(9.0, 12.0, 11.857142857142858)","(10.0, 14.5, 14.115384615384615)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:04.988530,"(2.6, 3.1, 3.0402985074626865)","(4.8, 5.9, 5.544444444444444)","(2.5, 3.1, 3.088)","(9.0, 12.0, 11.857142857142858)","(10.0, 15.0, 12.884615384615385)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:05.952213,"(2.6, 3.1, 3.0402985074626865)","(4.8, 5.9, 5.544444444444444)","(2.5, 3.1, 3.088)","(9.0, 12.0, 11.857142857142858)","(10.0, 15.0, 13.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:06.834934,"(2.6, 3.1, 3.0402985074626865)","(4.8, 5.9, 5.533333333333333)","(2.5, 3.1, 3.088)","(9.0, 12.0, 11.857142857142858)","(10.0, 15.0, 14.25)","(31.0, 85.0, 75.0)"
15-12-2022 13:38:07.748612,"(2.6, 3.1, 3.0402985074626865)","(4.8, 5.9, 5.533333333333333)","(2.5, 3.1, 3.088)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 15.285714285714285)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:08.687909,"(2.6, 3.1, 3.0402985074626865)","(4.8, 5.9, 5.533333333333333)","(2.5, 3.1, 3.088)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 15.285714285714285)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:09.591830,"(2.6, 3.1, 3.0402985074626865)","(4.8, 5.9, 5.533333333333333)","(2.5, 3.1, 3.088)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 15.285714285714285)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:10.526418,"(2.6, 3.1, 3.0402985074626865)","(4.8, 5.9, 5.441666666666667)","(2.5, 3.1, 3.02)","(9.0, 12.0, 11.857142857142858)","(10.0, 17.0, 15.833333333333334)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:11.529789,"(2.6, 3.2, 3.116)","(4.8, 5.8, 5.55)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.375)","(10.0, 17.0, 15.833333333333334)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:12.540051,"(2.6, 3.2, 3.130357142857143)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.375)","(10.0, 17.0, 16.07142857142857)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:13.566757,"(2.6, 3.2, 3.130357142857143)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.375)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:14.454540,"(2.6, 3.2, 3.130357142857143)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.375)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:15.360081,"(2.6, 3.2, 3.130357142857143)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.375)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.5)"
15-12-2022 13:38:16.319485,"(2.6, 3.2, 3.130357142857143)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.454545454545455)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:17.293767,"(2.6, 3.2, 3.130357142857143)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.454545454545455)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:18.265217,"(2.6, 3.2, 3.1113636363636363)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.384615384615385)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:19.205849,"(2.6, 3.2, 3.1113636363636363)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.966666666666667)","(9.0, 13.0, 12.5)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:20.188727,"(2.6, 3.2, 3.1113636363636363)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 13.0, 12.5)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:21.210987,"(2.6, 3.2, 3.1113636363636363)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 13.0, 12.5)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:22.131427,"(2.6, 3.2, 3.1113636363636363)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 13.0, 12.5)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:23.020219,"(2.6, 3.2, 3.1113636363636363)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 13.0, 12.5)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:23.918509,"(2.6, 3.2, 3.1)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 13.0, 12.6)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:24.893294,"(2.6, 3.2, 3.1)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 13.0, 12.6)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:25.886859,"(2.6, 3.2, 3.1)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 13.0, 12.6)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:26.858245,"(2.6, 3.2, 3.125)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 13.0, 12.375)","(10.0, 16.5, 15.617647058823529)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:27.826361,"(2.6, 3.2, 3.125)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 12.5, 12.083333333333334)","(10.0, 16.5, 16.045454545454547)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:28.767125,"(2.6, 3.2, 3.125)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 12.5, 12.083333333333334)","(10.0, 16.5, 16.045454545454547)","(31.0, 85.0, 77.85714285714286)"
15-12-2022 13:38:29.719787,"(2.6, 3.2, 3.125)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 12.5, 12.083333333333334)","(10.0, 16.5, 16.045454545454547)","(31.0, 85.0, 65.0)"
15-12-2022 13:38:30.681022,"(2.6, 3.2, 3.125)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 12.5, 12.083333333333334)","(10.0, 16.5, 16.045454545454547)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:31.561674,"(2.6, 3.2, 3.125)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 12.5, 12.083333333333334)","(10.0, 16.5, 15.25)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:32.578509,"(2.6, 3.2, 3.125)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 12.5, 12.083333333333334)","(10.0, 16.5, 15.25)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:33.548698,"(2.6, 3.2, 3.13)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 3.02)","(9.0, 12.5, 12.083333333333334)","(10.0, 16.5, 15.25)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:34.487302,"(2.6, 3.2, 3.13)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9628571428571426)","(9.0, 12.5, 12.083333333333334)","(10.0, 16.5, 15.607142857142858)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:35.535851,"(2.6, 3.2, 3.108695652173913)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9628571428571426)","(9.0, 12.5, 12.285714285714285)","(10.0, 16.5, 15.764705882352942)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:36.714534,"(2.6, 3.15, 3.066)","(4.8, 5.8, 5.55)","(2.5, 3.1, 2.9628571428571426)","(9.0, 12.5, 12.333333333333334)","(10.0, 16.5, 20.1)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:37.702132,"(2.6, 3.15, 3.0566666666666666)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9628571428571426)","(9.0, 12.5, 12.333333333333334)","(10.0, 21.0, 19.5625)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:38.671363,"(2.6, 3.15, 3.03)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9628571428571426)","(9.0, 12.5, 12.333333333333334)","(10.0, 20.0, 19.766666666666666)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:39.591105,"(2.6, 3.15, 3.03)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9628571428571426)","(9.0, 15.0, 12.666666666666666)","(10.0, 20.0, 19.766666666666666)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:40.602141,"(2.6, 3.15, 3.03)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 14.125)","(10.0, 20.0, 19.766666666666666)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:41.569970,"(2.6, 3.15, 3.03)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 14.125)","(10.0, 20.0, 19.766666666666666)","(31.0, 85.0, 62.5)"
15-12-2022 13:38:42.545958,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 13.363636363636363)","(10.0, 20.0, 19.142857142857142)","(31.0, 85.0, 73.33333333333333)"
15-12-2022 13:38:43.591749,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.8, 5.466666666666667)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 14.0)","(10.0, 20.0, 19.454545454545453)","(31.0, 85.0, 73.33333333333333)"
15-12-2022 13:38:44.563367,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.8, 5.463157894736842)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 14.0)","(10.0, 20.0, 19.454545454545453)","(31.0, 85.0, 73.33333333333333)"
15-12-2022 13:38:45.577195,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.8, 5.521739130434782)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 14.0)","(10.0, 20.0, 19.454545454545453)","(31.0, 85.0, 76.25)"
15-12-2022 13:38:46.585755,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.8, 5.444444444444445)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 14.0)","(10.0, 20.0, 19.454545454545453)","(31.0, 85.0, 76.25)"
15-12-2022 13:38:47.472451,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.523529411764706)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 13.88888888888889)","(10.0, 20.0, 19.4)","(31.0, 85.0, 76.25)"
15-12-2022 13:38:48.506542,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.523529411764706)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 13.88888888888889)","(10.0, 20.0, 19.653846153846153)","(31.0, 85.0, 76.25)"
15-12-2022 13:38:49.610592,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.523529411764706)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 13.88888888888889)","(10.0, 20.0, 19.653846153846153)","(31.0, 85.0, 76.25)"
15-12-2022 13:38:50.620502,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.523529411764706)","(2.5, 3.1, 2.9545454545454546)","(9.0, 15.0, 13.928571428571429)","(10.0, 20.0, 19.653846153846153)","(31.0, 85.0, 76.25)"
15-12-2022 13:38:51.622105,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.523529411764706)","(2.5, 3.1, 2.9545454545454546)","(9.0, 14.5, 13.40909090909091)","(10.0, 20.0, 19.653846153846153)","(31.0, 85.0, 76.25)"
15-12-2022 13:38:52.661409,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.523529411764706)","(2.5, 3.1, 2.9545454545454546)","(9.0, 14.5, 13.40909090909091)","(10.0, 20.0, 19.653846153846153)","(31.0, 85.0, 76.25)"
15-12-2022 13:38:53.648803,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.523529411764706)","(2.5, 3.1, 2.9545454545454546)","(9.0, 14.5, 13.40909090909091)","(10.0, 20.0, 19.375)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:38:54.625928,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.472727272727273)","(2.5, 3.1, 3.0)","(9.0, 14.5, 13.0)","(10.0, 20.0, 19.375)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:38:55.561827,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.472727272727273)","(2.5, 3.1, 3.0)","(9.0, 14.5, 13.0)","(10.0, 20.0, 19.72222222222222)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:38:56.527325,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.472727272727273)","(2.5, 3.1, 3.0)","(9.0, 14.5, 13.0)","(10.0, 20.0, 19.3)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:38:57.607548,"(2.6, 3.1, 2.996470588235294)","(4.8, 5.7, 5.472727272727273)","(2.5, 3.1, 3.0)","(9.0, 14.5, 13.0)","(10.0, 20.0, 19.3)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:38:58.739598,"(2.6, 3.05, 2.946168224299065)","(4.8, 5.7, 5.472727272727273)","(2.5, 3.1, 3.02)","(9.0, 14.5, 13.40909090909091)","(10.0, 20.0, 16.596774193548388)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:38:59.666825,"(2.6, 3.05, 2.9459999999999997)","(4.8, 5.7, 5.521428571428571)","(2.5, 3.1, 3.02)","(9.0, 14.5, 13.40909090909091)","(10.0, 17.0, 16.596774193548388)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:39:00.589061,"(2.6, 3.05, 2.9455)","(4.8, 5.7, 5.521428571428571)","(2.5, 3.1, 3.02)","(9.0, 14.5, 13.40909090909091)","(10.0, 17.0, 16.596774193548388)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:39:01.638483,"(2.6, 3.05, 2.9455)","(4.8, 5.7, 5.521428571428571)","(2.5, 3.1, 3.02)","(9.0, 14.5, 13.40909090909091)","(10.0, 17.0, 16.596774193548388)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:39:02.638487,"(2.6, 3.05, 2.9455)","(4.8, 5.7, 5.521428571428571)","(2.5, 3.1, 3.02)","(9.0, 14.5, 13.40909090909091)","(10.0, 17.0, 16.596774193548388)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:39:03.499711,"(2.6, 3.05, 2.9455)","(4.8, 5.7, 5.45)","(2.5, 3.1, 3.02)","(9.0, 14.5, 13.166666666666666)","(10.0, 21.0, 19.983870967741936)","(31.0, 85.0, 76.42857142857143)"
15-12-2022 13:39:04.517626,"(2.6, 3.05, 3.0246666666666666)","(4.8, 5.7, 5.45)","(2.5, 3.1, 3.0272727272727273)","(9.0, 13.5, 13.4375)","(10.0, 16.0, 15.166666666666666)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:05.562650,"(2.6, 3.05, 3.02524115755627)","(4.8, 5.7, 5.507692307692308)","(2.5, 3.1, 3.026153846153846)","(9.0, 13.5, 13.4375)","(10.0, 16.0, 15.166666666666666)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:06.534527,"(2.6, 3.05, 3.025830618892508)","(4.8, 5.7, 5.435294117647059)","(2.5, 3.1, 3.026153846153846)","(9.0, 13.5, 13.4375)","(10.0, 16.0, 15.428571428571429)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:07.426138,"(2.6, 3.05, 3.009405940594059)","(4.8, 5.7, 5.435294117647059)","(2.5, 3.1, 3.026153846153846)","(9.0, 13.5, 13.4375)","(10.0, 19.5, 17.4375)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:08.428588,"(2.6, 3.05, 3.009405940594059)","(4.8, 5.7, 5.435294117647059)","(2.5, 3.1, 3.026153846153846)","(9.0, 13.5, 13.0)","(10.0, 19.0, 16.8125)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:09.385214,"(2.6, 3.05, 3.009)","(4.8, 5.7, 5.353846153846154)","(2.5, 3.1, 3.0058823529411764)","(9.0, 13.5, 13.0)","(10.0, 19.0, 16.84090909090909)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:10.206783,"(2.6, 3.05, 3.009)","(4.8, 5.7, 5.353846153846154)","(2.5, 3.1, 3.0058823529411764)","(9.0, 13.5, 13.0)","(10.0, 19.0, 16.84090909090909)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:11.156270,"(2.6, 3.05, 3.009)","(4.8, 5.7, 5.381818181818182)","(2.5, 3.1, 3.0058823529411764)","(9.0, 13.5, 13.1)","(10.0, 19.0, 16.84090909090909)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:12.169832,"(2.6, 3.05, 3.009)","(4.8, 5.7, 5.466666666666667)","(2.5, 3.1, 3.026153846153846)","(9.0, 13.5, 13.1)","(10.0, 19.0, 16.84090909090909)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:13.230355,"(2.6, 3.05, 3.006842105263158)","(4.8, 5.7, 5.466666666666667)","(2.5, 3.1, 3.026153846153846)","(9.0, 13.5, 13.1)","(10.0, 19.0, 16.875)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:14.210692,"(2.6, 3.05, 3.006842105263158)","(4.8, 5.7, 5.484615384615385)","(2.5, 3.1, 3.026153846153846)","(9.0, 13.5, 13.1)","(10.0, 18.5, 16.875)","(31.0, 85.0, 80.83333333333334)"
15-12-2022 13:39:15.571148,"(2.6, 3.05, 3.006842105263158)","(4.8, 5.7, 5.484615384615385)","(2.5, 3.1, 3.026153846153846)","(9.0, 13.5, 13.1)","(10.0, 18.5, 16.875)","(31.0, 85.0, 80.83333333333334)"
