,Hello Gorgeous Nz,Abbee Bee,Fleet Of Foot,Justfollowmehome,Ee Jay Why,Krafty Louise,Debrenika,Carmela Domenica,Bettor Be Bucks,My Precious Mama
11-01-2023 19:59:44.643865,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 125.0)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:46.203862,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 125.0)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:47.741979,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 125.0)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:49.427912,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 125.0)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:51.055076,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 122.5)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:52.797987,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 122.5)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:54.636727,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 122.5)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:56.456182,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 122.5)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:58.024465,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 122.5)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 19:59:59.618372,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 122.5)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:01.288614,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 122.5)","(4.0, 5.7, 5.22)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:02.868244,"(1.75, 99999, 99990)","(6.5, 9.2, 8.399999999999999)","(81.0, 170.0, 122.5)","(4.0, 5.7, 4.62)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
