,Bonnies Cam,Three Rivers Nz,King Of Trumps Nz,Arnold Street,Yep Got Chooks,Williewa Lightning,Shadow Minister Nz,Might As Well Nz,Be Rock Hard Nz
06-01-2023 16:04:17.720668,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:18.988603,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:20.226338,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:21.842105,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:22.962929,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:24.088308,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:25.371468,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:26.593797,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:27.818178,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:29.163536,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
