,M And M Girl,Big Cyn,Shez A Grinder,Clubhouse Saint,Shoe Game,Rowangoeshollywood,Sue Ettas Ghost,Fire Diamonds,Tick Tock,Izanami
12-01-2023 08:01:07.150486,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:08.155789,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:09.365572,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:10.397932,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:11.432259,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:12.641669,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:13.675273,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:14.719895,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:15.768838,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:16.746146,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:17.811199,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:18.854587,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:19.902988,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:21.033732,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
12-01-2023 08:01:22.058828,"(20.0, 99999, 99990)","(15.0, 99999, 99990)","(31.0, 99999, 99990)","(10.0, 99999, 99990)","(2.9, 99999, 99990)","(3.3, 99999, 99990)","(5.5, 99999, 99990)","(14.0, 99999, 99990)","(7.5, 99999, 99990)","(31.0, 99999, 99990)"
