,Brienne,Faith In Manchester,Romeo Foxtrot,Emma Frost,Errol D,Kiwitrix,Aldebaran Flame
16-12-2022 15:26:39.304089,"(21.0, 26.0, 23.375)","(4.4, 5.4, 4.7875000000000005)","(7.0, 9.2, 8.872727272727273)","(10.0, 23.0, 15.083333333333334)","(9.0, 10.5, 10.32)","(2.8, 4.0, 3.823529411764706)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:40.258062,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.061538461538461)","(7.0, 9.2, 8.872727272727273)","(10.0, 23.0, 15.083333333333334)","(9.0, 12.0, 10.414285714285715)","(2.8, 4.0, 3.823529411764706)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:41.311678,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.061538461538461)","(7.0, 9.2, 8.872727272727273)","(10.0, 23.0, 15.083333333333334)","(9.0, 11.5, 10.44)","(2.8, 4.0, 3.823529411764706)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:42.304086,"(21.0, 26.0, 23.375)","(4.4, 5.2, 4.9)","(7.0, 9.2, 8.872727272727273)","(10.0, 23.0, 15.083333333333334)","(9.0, 11.0, 10.44)","(2.8, 4.0, 3.823529411764706)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:43.438761,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.125)","(7.0, 9.2, 8.872727272727273)","(10.0, 23.0, 15.083333333333334)","(9.0, 11.0, 10.44)","(2.8, 4.0, 3.823529411764706)","(3.5, 4.8, 4.721052631578948)"
16-12-2022 15:26:44.615840,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.125)","(7.0, 9.2, 8.872727272727273)","(10.0, 23.0, 15.083333333333334)","(9.0, 11.0, 10.414285714285715)","(2.8, 4.0, 3.8461538461538463)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:45.593015,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.116666666666667)","(7.0, 9.2, 8.872727272727273)","(10.0, 23.0, 15.083333333333334)","(9.0, 11.5, 10.414285714285715)","(2.8, 4.0, 3.8461538461538463)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:46.565558,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.107692307692307)","(7.0, 9.2, 8.872727272727273)","(10.0, 22.0, 17.75)","(9.0, 11.5, 10.933333333333334)","(2.8, 4.0, 3.823529411764706)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:47.729046,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.107692307692307)","(7.0, 8.6, 7.8)","(10.0, 22.0, 17.75)","(9.0, 12.5, 11.352941176470589)","(2.8, 4.0, 3.7750000000000004)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:48.825574,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.107692307692307)","(7.0, 8.6, 7.872727272727272)","(10.0, 22.0, 17.75)","(9.0, 12.0, 10.571428571428571)","(2.8, 4.0, 3.7750000000000004)","(3.5, 4.8, 4.721052631578948)"
16-12-2022 15:26:49.806253,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.107692307692307)","(7.0, 11.0, 8.875)","(10.0, 22.0, 17.75)","(9.0, 12.0, 10.928571428571429)","(2.8, 4.0, 3.7750000000000004)","(3.5, 4.8, 4.711764705882353)"
16-12-2022 15:26:50.803308,"(21.0, 26.0, 23.375)","(4.4, 5.2, 5.107692307692307)","(7.0, 11.0, 9.628571428571428)","(10.0, 22.0, 17.75)","(9.0, 12.0, 10.928571428571429)","(2.8, 4.0, 3.7750000000000004)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:26:51.764501,"(21.0, 26.0, 23.375)","(4.4, 5.2, 4.9)","(7.0, 11.0, 9.254545454545454)","(10.0, 22.0, 17.75)","(9.0, 12.0, 10.928571428571429)","(2.8, 4.0, 3.7750000000000004)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:26:52.799684,"(21.0, 26.0, 23.375)","(4.4, 5.2, 4.9)","(7.0, 11.0, 9.254545454545454)","(10.0, 22.0, 17.75)","(9.0, 12.0, 11.11111111111111)","(2.8, 4.0, 3.8333333333333335)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:53.729124,"(21.0, 27.0, 26.166666666666668)","(4.4, 5.2, 4.9)","(7.0, 11.0, 9.254545454545454)","(10.0, 22.0, 17.75)","(9.0, 12.0, 11.384615384615385)","(2.8, 4.0, 3.8333333333333335)","(3.5, 4.8, 4.5600000000000005)"
