,Burns Bay,Im Feeling Firey,Just Dessy,Regulus,Brigadiers Son Nz,Falcons,Bumper,Artful Maid,Saving Major Percy,B Mac C Nz
06-01-2023 16:44:24.985217,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:26.407477,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:27.920186,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:29.283404,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:30.648494,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:32.062433,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:33.480796,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:34.962729,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:36.345431,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:37.815063,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.949999999999999)","(10.0, 17.5, 14.375)","(3.5, 99999, 99990)","(21.0, 48.0, 40.875)","(101.0, 230.0, 185.0)","(11.0, 23.0, 19.333333333333332)","(31.0, 65.0, 52.33333333333333)","(15.0, 99999, 99990)"
06-01-2023 16:44:39.361892,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.6, 6.2)","(10.0, 17.5, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:40.854018,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:42.386169,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:43.905747,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:45.540020,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:47.053275,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:48.489441,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:49.821854,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:51.195238,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:52.616950,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:54.103343,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:55.549568,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:56.954170,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:58.258238,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:44:59.590889,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:45:00.972168,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:45:02.308513,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:45:03.700545,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:45:05.100075,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
06-01-2023 16:45:06.424857,"(3.9, 7.2, 6.45)","(4.2, 6.6, 6.074999999999999)","(5.0, 7.4, 6.2)","(10.0, 17.0, 14.454545454545453)","(3.5, 99999, 99990)","(21.0, 48.0, 36.8)","(101.0, 230.0, 185.0)","(11.0, 23.0, 20.8)","(31.0, 65.0, 46.5)","(15.0, 99999, 99990)"
