,A Lot Of Booty,Gold Flash,Granite Prince,Red Deception,Time To Star,Zephalong,Sightseer,Worthy Essgee,Alcamo Beach,Serigala,Better Off Single
08-01-2023 13:07:56.511819,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:07:58.182741,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:00.025737,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:01.598687,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:03.107944,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:04.696500,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:06.227931,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.6342857142857143)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:07.735286,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.6342857142857143)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:09.226571,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:10.742137,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:12.359863,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:13.963056,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.648)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:15.526560,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.84, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:17.260776,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:19.033326,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:20.720625,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:22.488490,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 37.714285714285715)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:24.118292,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:25.626559,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:27.232365,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:28.806214,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:30.387927,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:31.950154,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:33.412096,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:34.908324,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:36.388755,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6157142857142857)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
