,Jaziah,The Casual Goose,Mon Bel Ange,Recipe For Dreaming Nz,Purple Shades,Roclea Ruler,True Grit Shadow,Whata Terror,Bettor Getta Lover
05-01-2023 16:48:43.549481,"(1.6, 1.67, 1.6071794871794873)","(6.0, 10.5, 8.966666666666667)","(41.0, 100.0, 65.33333333333333)","(16.0, 99999, 99990)","(10.0, 19.5, 14.666666666666666)","(26.0, 50.0, 45.8)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.65)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:44.718492,"(1.6, 1.67, 1.6071794871794873)","(6.0, 10.5, 8.966666666666667)","(41.0, 100.0, 65.33333333333333)","(16.0, 99999, 99990)","(10.0, 19.0, 14.666666666666666)","(26.0, 50.0, 45.8)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.65)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:45.965013,"(1.6, 1.67, 1.6071794871794873)","(6.0, 10.5, 8.966666666666667)","(41.0, 100.0, 65.33333333333333)","(16.0, 99999, 99990)","(10.0, 19.0, 13.428571428571429)","(26.0, 50.0, 40.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.65)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:47.078116,"(1.6, 1.67, 1.6071794871794873)","(6.0, 10.5, 8.966666666666667)","(41.0, 100.0, 65.33333333333333)","(16.0, 99999, 99990)","(10.0, 19.0, 14.75)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.75)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:48.215715,"(1.6, 1.66, 1.618888888888889)","(6.0, 10.5, 9.366666666666667)","(41.0, 95.0, 58.25)","(16.0, 99999, 99990)","(10.0, 18.5, 14.75)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.75)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:49.334055,"(1.6, 1.66, 1.618888888888889)","(6.0, 10.5, 9.366666666666667)","(41.0, 95.0, 58.25)","(16.0, 99999, 99990)","(10.0, 18.5, 14.75)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.75)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:50.436887,"(1.6, 1.66, 1.618888888888889)","(6.0, 10.5, 9.366666666666667)","(41.0, 95.0, 74.85714285714286)","(16.0, 99999, 99990)","(10.0, 18.5, 14.75)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.5)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:51.574571,"(1.6, 1.66, 1.6366666666666667)","(6.0, 10.5, 9.366666666666667)","(41.0, 95.0, 74.85714285714286)","(16.0, 99999, 99990)","(10.0, 18.5, 14.375)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.75)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:52.723603,"(1.6, 1.66, 1.618888888888889)","(6.0, 10.5, 9.366666666666667)","(41.0, 95.0, 74.85714285714286)","(16.0, 99999, 99990)","(10.0, 18.5, 15.125)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.75)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:53.878503,"(1.6, 1.66, 1.6193023255813954)","(6.0, 10.5, 9.366666666666667)","(41.0, 95.0, 74.85714285714286)","(16.0, 99999, 99990)","(10.0, 18.5, 14.75)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.5)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:55.053616,"(1.6, 1.66, 1.6407692307692308)","(6.0, 10.5, 9.366666666666667)","(41.0, 95.0, 74.85714285714286)","(16.0, 99999, 99990)","(10.0, 18.5, 15.166666666666666)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:56.225382,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.5)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.0)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:57.357224,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.75)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.0)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:58.558528,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.75)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.0)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:48:59.767651,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.75)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.0)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
