,Almighty Virtue,Katzenjammer,Puma,Rockierro,Gotchagood,Kreglinger,Gee Gees Flyby
11-01-2023 11:07:10.575443,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.3205263157894738)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.9)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:11.630941,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.3109090909090906)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.9)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:12.737518,"(21.0, 150.0, 75.8)","(2.1, 2.44, 2.3274999999999997)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.8)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:13.887484,"(21.0, 150.0, 75.8)","(2.1, 2.44, 2.3499999999999996)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.8)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:14.972314,"(21.0, 150.0, 75.8)","(2.1, 2.44, 2.3499999999999996)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.92)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:16.085679,"(21.0, 150.0, 75.8)","(2.1, 2.44, 2.3499999999999996)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.025)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:17.182548,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.292)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.025)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:18.290509,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.2866666666666666)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.025)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:19.422413,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.2866666666666666)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.025)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:20.595780,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.2866666666666666)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.025)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:21.704336,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.2866666666666666)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.025)","(13.0, 22.0, 17.0)"
11-01-2023 11:07:22.784225,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.2866666666666666)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.025)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:23.799605,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.3859090909090908)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.16)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:24.807425,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.6, 5.16)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:25.758618,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.6, 4.988888888888889)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:26.735432,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.6, 4.933333333333334)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:27.712415,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.6, 4.8)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:28.788410,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.6, 4.8)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:29.859307,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.707407407407407)","(26.0, 65.0, 47.5)","(3.9, 5.6, 4.8)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:30.921262,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.64)","(26.0, 65.0, 47.5)","(3.9, 5.6, 5.2)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:32.025095,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.64)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:33.149352,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.64)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:34.209718,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.7)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:35.286273,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:36.291878,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:37.290857,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:38.227455,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:39.219039,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:40.198424,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:41.181510,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:42.167686,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:43.311505,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:44.427661,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.391764705882353)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 53.333333333333336)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:45.591609,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.3927272727272726)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:46.710964,"(21.0, 150.0, 75.8)","(2.1, 2.42, 2.3927272727272726)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.014285714285714)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:47.832884,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.312727272727273)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.666666666666666)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.13)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:48.994961,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.312727272727273)","(6.5, 9.6, 8.899999999999999)","(4.4, 6.0, 5.6421052631578945)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.13)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:50.129319,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.312727272727273)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.13)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:51.260932,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.312727272727273)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.13)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:52.368842,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.312727272727273)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.13)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:53.489601,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.312727272727273)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.13)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:54.588854,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.373333333333333)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 5.13)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:56.112189,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.95)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:57.274236,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.95)","(13.0, 22.0, 20.75)"
11-01-2023 11:07:58.358706,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.95)","(13.0, 22.0, 20.75)"
