,Lycallegro,Move Like Jagger,Flying Billie,Angeli,Depasser,Gee Gees Choris,Bellasario,Elmajay,Royal Molly
11-01-2023 12:16:05.191013,"(10.0, 18.0, 15.5)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:06.847318,"(10.0, 18.0, 15.5)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:08.766545,"(10.0, 18.0, 15.5)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:10.485069,"(10.0, 18.0, 15.5)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:11.995667,"(10.0, 18.0, 15.5)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:13.591103,"(10.0, 18.0, 15.5)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:15.056135,"(10.0, 15.5, 14.75)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:16.638706,"(10.0, 15.5, 15.2)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:18.155268,"(10.0, 15.5, 14.666666666666666)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 12.653846153846153)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:19.739356,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 13.25)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:21.362387,"(10.0, 15.5, 15.3)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 18.5, 14.75)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:22.980090,"(10.0, 15.5, 15.3)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 18.0, 13.7)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:24.582117,"(10.0, 15.5, 15.3)","(3.0, 4.2, 3.6666666666666665)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 17.0, 14.0)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:26.413327,"(10.0, 15.5, 15.0)","(3.0, 4.2, 3.6666666666666665)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
