,Hopes Girl,Weblec Breeze,Nova Cascade,Beautiful Bounty,Follow You,Shrinking
07-12-2022 13:39:35.063522,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:36.153085,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:37.590340,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:38.748098,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:39.830696,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:41.149791,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:42.456686,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:43.584296,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:44.973667,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:46.339518,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:47.722552,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:48.945216,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:50.148018,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:51.686051,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:53.116469,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:54.522249,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:55.736091,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
