,Screaming Izzy,Echo Chamber,Blue Ability,Wood Carrier,Blazin Fury,Dr Cinny,Tinker Dan,Mekong Tash
07-01-2023 09:34:48.499513,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.35, 2.9985714285714287)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:34:49.792050,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.35, 2.9985714285714287)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:34:51.106885,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.35, 2.9985714285714287)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:34:52.324635,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.35, 2.9985714285714287)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:34:53.524929,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.35, 2.9985714285714287)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:34:54.914450,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.35, 2.9985714285714287)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:34:56.199645,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.3, 2.985)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:34:57.631383,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.3, 2.985)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:34:58.814191,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.3, 2.985)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:00.053530,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.3, 2.985)","(5.5, 11.0, 6.418181818181818)"
