,Whose Me Mum,Aldebaran Leroy,Krakuer,Arrjays Trapper,Majestic Speed,Buslin Brody,So Vogue
11-01-2023 21:18:04.212768,"(9.0, 14.5, 13.9375)","(31.0, 80.0, 53.333333333333336)","(12.0, 21.0, 18.142857142857142)","(11.0, 18.0, 14.571428571428571)","(2.2, 3.75, 3.4499999999999997)","(20.0, 42.0, 33.333333333333336)","(2.05, 2.22, 2.156)"
11-01-2023 21:18:05.459389,"(9.0, 14.5, 13.9375)","(31.0, 80.0, 53.333333333333336)","(12.0, 21.0, 18.142857142857142)","(11.0, 18.0, 14.571428571428571)","(2.2, 3.75, 3.4499999999999997)","(20.0, 42.0, 38.285714285714285)","(2.05, 2.22, 2.156)"
11-01-2023 21:18:06.661676,"(9.0, 14.5, 13.9375)","(31.0, 80.0, 53.333333333333336)","(12.0, 21.0, 18.142857142857142)","(11.0, 18.0, 14.571428571428571)","(2.2, 3.75, 3.4499999999999997)","(20.0, 42.0, 34.0)","(2.05, 2.22, 2.156)"
11-01-2023 21:18:07.833444,"(9.0, 14.5, 13.9375)","(31.0, 80.0, 53.333333333333336)","(12.0, 21.0, 16.833333333333332)","(11.0, 18.0, 13.714285714285714)","(2.2, 3.75, 3.1333333333333333)","(20.0, 42.0, 38.285714285714285)","(2.05, 2.22, 2.5721448467966574)"
11-01-2023 21:18:08.990205,"(9.0, 14.5, 13.375)","(31.0, 80.0, 61.111111111111114)","(12.0, 21.0, 16.714285714285715)","(11.0, 18.0, 16.0)","(2.2, 3.25, 3.013333333333333)","(20.0, 42.0, 34.90909090909091)","(2.05, 2.6, 2.426206896551724)"
11-01-2023 21:18:10.094737,"(9.0, 14.5, 13.375)","(31.0, 75.0, 58.5)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 3.2, 3.013333333333333)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.6, 2.426206896551724)"
11-01-2023 21:18:11.227135,"(9.0, 14.5, 13.375)","(31.0, 75.0, 66.75)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 3.2, 3.013333333333333)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.6, 2.426206896551724)"
11-01-2023 21:18:12.417216,"(9.0, 14.5, 13.375)","(31.0, 70.0, 54.92307692307692)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 3.2, 3.013333333333333)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.6, 2.426206896551724)"
11-01-2023 21:18:13.608807,"(9.0, 14.5, 13.375)","(31.0, 70.0, 54.92307692307692)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 3.2, 2.9299999999999997)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.6, 2.5072727272727273)"
11-01-2023 21:18:14.686104,"(9.0, 14.5, 13.375)","(31.0, 65.0, 54.54545454545455)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 2.98, 2.932)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.58, 2.473846153846154)"
11-01-2023 21:18:15.719348,"(9.0, 14.5, 13.375)","(31.0, 65.0, 54.54545454545455)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 2.98, 2.932)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.56, 2.473846153846154)"
