,Stella Star,Madi Moonshine,Destini Fresco,Magic Zimba,Elektra Storm,Up There Rocco
08-01-2023 16:59:14.241200,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:15.193906,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:16.149483,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:17.138506,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:18.050369,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:19.163271,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:20.192323,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:21.139468,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:22.095920,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:23.070732,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:23.995055,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:25.019616,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:26.135316,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:27.083692,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:27.968644,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:28.939546,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:29.915345,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:31.000795,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:32.098272,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:33.119702,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:34.154624,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:35.358686,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:36.644103,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:37.665566,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:38.650344,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:39.558330,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:40.457691,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
08-01-2023 16:59:41.451792,"(9.0, 19.0, 10.333333333333332)","(31.0, 130.0, 89.23076923076923)","(8.0, 16.0, 8.65)","(14.0, 48.0, 34.92307692307692)","(12.0, 34.0, 27.235294117647058)","(1.18, 1.49, 1.235128205128205)"
