,Art Major,Bucks,Jaffastock,Tametomo,Allyrock,Rippa Choice,Roederer
08-01-2023 14:31:44.797897,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 143.75)"
08-01-2023 14:31:45.879847,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 143.75)"
08-01-2023 14:31:47.115673,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 12.2)","(51.0, 170.0, 143.75)"
08-01-2023 14:31:48.311001,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 12.2)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:49.480450,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 12.2)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:50.648902,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 12.2)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:51.800074,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 12.2)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:52.943079,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 12.2)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:54.100365,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 12.2)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:55.242606,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 12.2)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:56.383447,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 12.2)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:57.464574,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 15.0, 11.95)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:58.519762,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 149.0)"
08-01-2023 14:31:59.549439,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:00.621982,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:01.658401,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:02.698495,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:03.755439,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 149.0)"
