,Lucky Fernando,Dewana Scotch,Dewana Burger,Deep Fever,Zippy Audi,Fabriola Yanis,Apache Shout,Arkansas
14-12-2022 19:20:36.928617,"(20.0, 65.0, 47.11538461538461)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 70.0, 37.1875)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 46.66666666666667)"
14-12-2022 19:20:38.089358,"(20.0, 65.0, 47.11538461538461)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 70.0, 37.1875)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 46.66666666666667)"
14-12-2022 19:20:39.181360,"(20.0, 65.0, 47.11538461538461)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 70.0, 37.1875)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 46.66666666666667)"
14-12-2022 19:20:40.274245,"(20.0, 65.0, 47.11538461538461)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 70.0, 37.1875)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 46.66666666666667)"
14-12-2022 19:20:41.402327,"(20.0, 65.0, 47.11538461538461)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 70.0, 37.1875)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:42.559823,"(20.0, 65.0, 47.11538461538461)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 70.0, 37.1875)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:43.728540,"(20.0, 65.0, 47.11538461538461)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 70.0, 37.1875)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:44.839278,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 60.0, 33.4375)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:45.974414,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 60.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:47.084166,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:48.163747,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:49.213195,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
