,My Best Buddy,Long Gully Brown,Fizzy Crest,Alaska Black,Emerley Cougar,Chilli On Ice
11-01-2023 11:15:45.217514,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:46.196383,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:47.247115,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:48.275587,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:49.271196,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:50.208220,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:51.121422,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:51.999830,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:52.902421,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:53.843886,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
