,Determination,Udella Bale,Laquita Star,Goolagong,Ocean Girl,Sir Les
12-01-2023 14:56:07.238874,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:08.330816,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:09.367312,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:10.366116,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:11.377491,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:12.416500,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:13.408879,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:14.633099,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:15.770584,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:16.879938,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:18.028182,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:19.157920,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:20.264056,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:21.415231,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:22.447538,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.54275)"
12-01-2023 14:56:23.484608,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 22.375)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:24.536389,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:25.595601,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:26.663041,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:27.685524,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:28.687155,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:29.697099,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:30.705045,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:31.709237,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:32.690094,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
