,Sailor,Valley Of Dreams,Ghostwriter,Two Smokin Barrels,Goldeel,Teranga,Oakfield Warpaint,The Love Rocket
11-01-2023 15:05:20.228811,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.666666666666668)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:21.351609,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 28.5)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:22.514813,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 28.5)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:23.677541,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 28.5)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:24.893327,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 28.5)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:26.123264,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 28.5)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:27.299532,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 27.6875)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:28.473078,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 27.6875)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:29.684665,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 27.6875)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:30.843438,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2333333333333334)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 27.6875)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:32.093466,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.3165853658536584)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 27.6875)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:33.300313,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.3165853658536584)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.75)","(19.0, 29.0, 24.8)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:34.364225,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.3165853658536584)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 24.8)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:35.503063,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2743589743589743)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.6)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:36.572585,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2743589743589743)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.6)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:37.747258,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.6)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:38.795556,"(4.6, 7.4, 7.066666666666667)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.6)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:39.914350,"(4.6, 7.4, 6.938461538461539)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.6)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:41.042522,"(4.6, 7.4, 6.938461538461539)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.0)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:42.235268,"(4.6, 7.4, 6.938461538461539)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 65.0, 58.666666666666664)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.0)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:43.430282,"(4.6, 7.4, 6.938461538461539)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 65.0, 53.0)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.0)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:44.655982,"(4.6, 7.4, 6.938461538461539)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 60.0, 53.0)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.0)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:45.826109,"(4.6, 7.4, 6.938461538461539)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 60.0, 53.0)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 26.0)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:47.022423,"(4.6, 7.4, 7.025)","(10.0, 16.0, 13.857142857142858)","(2.1, 2.34, 2.2668571428571425)","(31.0, 60.0, 53.0)","(5.0, 6.4, 6.25)","(7.0, 9.2, 8.799999999999999)","(19.0, 29.0, 27.736842105263158)","(31.0, 50.0, 46.25)"
11-01-2023 15:05:48.198496,"(4.6, 7.4, 7.258823529411766)","(10.0, 16.0, 14.0)","(2.1, 2.34, 2.2333333333333334)","(31.0, 60.0, 53.0)","(5.0, 6.4, 6.294117647058823)","(7.0, 9.2, 9.4)","(19.0, 29.0, 27.736842105263158)","(31.0, 50.0, 43.333333333333336)"
11-01-2023 15:05:49.349339,"(4.6, 7.4, 7.0)","(10.0, 16.0, 14.0)","(2.1, 2.34, 2.222857142857143)","(31.0, 60.0, 50.4)","(5.0, 6.6, 6.428571428571429)","(7.0, 9.6, 9.133333333333333)","(19.0, 29.0, 24.8)","(31.0, 50.0, 43.333333333333336)"
11-01-2023 15:05:50.556011,"(4.6, 7.4, 6.8)","(10.0, 16.0, 14.0)","(2.1, 2.24, 2.222857142857143)","(31.0, 60.0, 56.0)","(5.0, 6.6, 6.705263157894737)","(7.0, 9.4, 9.100000000000001)","(19.0, 29.0, 26.75)","(31.0, 50.0, 42.72727272727273)"
11-01-2023 15:05:51.860993,"(4.6, 7.6, 7.04)","(10.0, 16.0, 14.333333333333334)","(2.1, 2.24, 2.230204081632653)","(31.0, 60.0, 48.2)","(5.0, 7.0, 6.705263157894737)","(7.0, 9.4, 9.100000000000001)","(19.0, 29.0, 28.0)","(31.0, 50.0, 42.72727272727273)"
11-01-2023 15:05:52.937820,"(4.6, 7.8, 7.05)","(10.0, 16.0, 14.333333333333334)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.2)","(5.0, 7.0, 6.705263157894737)","(7.0, 9.4, 9.466666666666667)","(19.0, 29.0, 28.0)","(31.0, 50.0, 42.72727272727273)"
11-01-2023 15:05:54.020108,"(4.6, 7.8, 7.05)","(10.0, 16.0, 14.333333333333334)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.2)","(5.0, 7.0, 6.705263157894737)","(7.0, 9.8, 9.466666666666667)","(19.0, 29.0, 28.0)","(31.0, 50.0, 42.72727272727273)"
11-01-2023 15:05:55.102360,"(4.6, 7.8, 7.05)","(10.0, 16.0, 14.333333333333334)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.2)","(5.0, 7.0, 6.705263157894737)","(7.0, 9.8, 9.466666666666667)","(19.0, 29.0, 28.0)","(31.0, 50.0, 42.72727272727273)"
11-01-2023 15:05:56.270534,"(4.6, 7.8, 7.2375)","(10.0, 16.0, 14.333333333333334)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.2)","(5.0, 7.0, 6.705263157894737)","(7.0, 9.8, 9.2)","(19.0, 29.0, 28.0)","(31.0, 50.0, 42.72727272727273)"
11-01-2023 15:05:57.519896,"(4.6, 7.8, 7.2375)","(10.0, 16.0, 14.333333333333334)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 52.16666666666667)","(5.0, 7.0, 6.862068965517241)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 42.72727272727273)"
11-01-2023 15:05:58.784300,"(4.6, 7.8, 7.565217391304348)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.2)","(5.0, 7.8, 6.611764705882353)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 42.72727272727273)"
11-01-2023 15:06:00.049471,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.2)","(5.0, 7.6, 6.9)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.0)"
11-01-2023 15:06:01.243580,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.2)","(5.0, 7.4, 6.685714285714286)","(7.0, 9.6, 8.989473684210527)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.0)"
11-01-2023 15:06:02.415178,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 45.0)","(5.0, 7.4, 6.685714285714286)","(7.0, 10.0, 8.989473684210527)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.0)"
11-01-2023 15:06:03.621443,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 45.0)","(5.0, 7.4, 6.9)","(7.0, 10.0, 8.989473684210527)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.0)"
11-01-2023 15:06:04.838163,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.5)","(5.0, 7.4, 6.9)","(7.0, 10.0, 9.4)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:05.994450,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.230204081632653)","(31.0, 55.0, 48.5)","(5.0, 7.4, 6.9)","(7.0, 9.8, 9.4)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:07.257287,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2090666666666667)","(31.0, 55.0, 49.8)","(5.0, 7.4, 6.9)","(7.0, 9.8, 9.4)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:08.487854,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2090666666666667)","(31.0, 55.0, 49.8)","(5.0, 7.4, 6.800000000000001)","(7.0, 9.8, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:09.699898,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2090666666666667)","(31.0, 55.0, 49.8)","(5.0, 7.4, 6.800000000000001)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:11.005530,"(4.6, 7.8, 6.72)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2090666666666667)","(31.0, 55.0, 49.8)","(5.0, 7.4, 6.800000000000001)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:12.287830,"(4.6, 7.8, 6.830769230769231)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2090666666666667)","(31.0, 55.0, 49.8)","(5.0, 7.4, 6.800000000000001)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:13.516266,"(4.6, 7.6, 6.566666666666667)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 55.0, 49.8)","(5.0, 7.4, 7.222222222222222)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:14.862932,"(4.6, 7.4, 6.816666666666666)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 55.0, 49.8)","(5.0, 7.4, 6.9)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:16.343552,"(4.6, 7.4, 6.9)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 55.0, 49.5)","(5.0, 7.4, 6.6000000000000005)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:17.604512,"(4.6, 7.2, 6.9)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 55.0, 49.5)","(5.0, 7.4, 6.527272727272727)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:18.805260,"(4.6, 7.2, 6.9)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 55.0, 50.5)","(5.0, 7.4, 6.527272727272727)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:19.946112,"(4.6, 7.2, 6.9)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 55.0, 50.5)","(5.0, 7.4, 6.6000000000000005)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:21.168741,"(4.6, 7.2, 6.9)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 55.0, 58.666666666666664)","(5.0, 7.4, 7.229787234042553)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:22.772337,"(4.6, 7.4, 6.983333333333333)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 65.0, 58.666666666666664)","(5.0, 7.4, 7.229787234042553)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:24.242369,"(4.6, 7.4, 7.036363636363637)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 65.0, 58.666666666666664)","(5.0, 7.4, 7.213953488372093)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:25.498517,"(4.6, 7.2, 6.909090909090909)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 65.0, 60.25)","(5.0, 7.4, 7.195744680851064)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:26.683400,"(4.6, 7.2, 6.909090909090909)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 65.0, 60.25)","(5.0, 7.4, 6.527272727272727)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:27.801179,"(4.6, 7.2, 6.909090909090909)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 65.0, 60.25)","(5.0, 7.4, 6.527272727272727)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:29.072168,"(4.6, 7.2, 6.909090909090909)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 65.0, 54.4)","(5.0, 7.4, 6.527272727272727)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:30.433654,"(4.6, 7.2, 6.986666666666667)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 60.0, 54.4)","(5.0, 7.4, 6.800000000000001)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:31.610918,"(4.6, 7.2, 6.986666666666667)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 60.0, 54.4)","(5.0, 7.4, 6.815384615384616)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:32.839058,"(4.6, 7.2, 6.986666666666667)","(10.0, 16.0, 14.571428571428571)","(2.1, 2.24, 2.2106329113924055)","(31.0, 60.0, 54.4)","(5.0, 7.2, 6.84)","(7.0, 9.6, 9.28)","(19.0, 29.0, 28.0)","(31.0, 50.0, 40.90909090909091)"
11-01-2023 15:06:34.025367,"(4.6, 7.4, 7.0875)","(10.0, 16.0, 15.0)","(2.1, 2.24, 2.2106329113924055)","(31.0, 60.0, 56.0)","(5.0, 7.0, 6.225806451612903)","(7.0, 9.6, 8.963636363636365)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.38461538461539)"
11-01-2023 15:06:35.196838,"(4.6, 7.4, 7.0875)","(10.0, 15.5, 14.7)","(2.1, 2.24, 2.2106329113924055)","(31.0, 60.0, 57.5)","(5.0, 7.0, 6.373333333333333)","(7.0, 9.4, 8.963636363636365)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.38461538461539)"
11-01-2023 15:06:36.338300,"(4.6, 7.4, 7.0875)","(10.0, 15.5, 14.7)","(2.1, 2.24, 2.2106329113924055)","(31.0, 60.0, 61.666666666666664)","(5.0, 6.8, 6.466666666666667)","(7.0, 9.4, 8.963636363636365)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.38461538461539)"
11-01-2023 15:06:37.561719,"(4.6, 7.2, 7.0769230769230775)","(10.0, 15.5, 14.7)","(2.1, 2.24, 2.2106329113924055)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.466666666666667)","(7.0, 9.4, 8.963636363636365)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.38461538461539)"
11-01-2023 15:06:38.793732,"(4.6, 7.2, 7.0769230769230775)","(10.0, 15.5, 14.7)","(2.1, 2.24, 2.2106329113924055)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.466666666666667)","(7.0, 9.4, 8.963636363636365)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.38461538461539)"
11-01-2023 15:06:40.087080,"(4.6, 7.2, 7.0769230769230775)","(10.0, 15.5, 14.7)","(2.1, 2.24, 2.2127058823529415)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.5)","(7.0, 9.4, 8.963636363636365)","(19.0, 29.0, 28.0)","(31.0, 50.0, 45.38461538461539)"
11-01-2023 15:06:41.260925,"(4.6, 7.0, 6.907692307692308)","(10.0, 15.5, 14.7)","(2.1, 2.24, 2.2071794871794874)","(31.0, 75.0, 67.0)","(5.0, 6.6, 6.35)","(7.0, 9.4, 8.963636363636365)","(19.0, 29.0, 27.5)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:42.444164,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.0)","(2.1, 2.24, 2.1851428571428575)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.35)","(7.0, 9.4, 8.963636363636365)","(19.0, 32.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:43.581154,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.0)","(2.1, 2.24, 2.1851428571428575)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.35)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 32.0)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:44.743086,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.0)","(2.1, 2.24, 2.2087804878048782)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.466666666666667)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 32.0)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:46.222710,"(4.6, 7.2, 7.111111111111112)","(10.0, 15.5, 15.0)","(2.1, 2.24, 2.2087804878048782)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.466666666666667)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 32.0)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:47.499976,"(4.6, 7.2, 7.111111111111112)","(10.0, 15.5, 15.0)","(2.1, 2.24, 2.2087804878048782)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.466666666666667)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:48.760511,"(4.6, 7.2, 7.111111111111112)","(10.0, 15.5, 15.0)","(2.1, 2.24, 2.2087804878048782)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.7)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:50.071336,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.0)","(2.1, 2.24, 2.2087804878048782)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.7)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:51.525215,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.0)","(2.1, 2.24, 2.2568421052631575)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.35)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:52.861934,"(4.6, 7.0, 6.769230769230769)","(10.0, 15.5, 15.0)","(2.1, 2.26, 2.2381818181818183)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.3999999999999995)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:54.358476,"(4.6, 7.2, 6.892307692307693)","(10.0, 15.5, 15.1)","(2.1, 2.26, 2.2381818181818183)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.3999999999999995)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:55.547574,"(4.6, 7.2, 6.892307692307693)","(10.0, 15.5, 15.1)","(2.1, 2.26, 2.2381818181818183)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.3999999999999995)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:56.773580,"(4.6, 7.2, 6.892307692307693)","(10.0, 15.5, 15.1)","(2.1, 2.26, 2.2381818181818183)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.3999999999999995)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:57.994633,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.1)","(2.1, 2.26, 2.2439999999999998)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.6, 6.4)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:06:59.261312,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.1)","(2.1, 2.26, 2.2439999999999998)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.4)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:07:00.438450,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.1)","(2.1, 2.26, 2.2439999999999998)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.4)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
11-01-2023 15:07:01.666441,"(4.6, 7.0, 6.88)","(10.0, 15.5, 15.1)","(2.1, 2.26, 2.2439999999999998)","(31.0, 75.0, 61.666666666666664)","(5.0, 6.8, 6.3999999999999995)","(7.0, 9.4, 8.963636363636365)","(19.0, 34.0, 30.8)","(31.0, 50.0, 45.714285714285715)"
