,Sailor,Valley Of Dreams,Ghostwriter,Two Smokin Barrels,Goldeel,Teranga,Oakfield Warpaint,The Love Rocket
11-01-2023 15:01:30.254109,"(4.6, 7.4, 6.430303030303031)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 33.57142857142857)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:31.501313,"(4.6, 7.4, 6.427777777777778)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 33.57142857142857)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:32.751387,"(4.6, 7.4, 6.427777777777778)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 33.57142857142857)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:33.970944,"(4.6, 7.4, 6.427777777777778)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 33.57142857142857)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:35.107009,"(4.6, 7.4, 6.427777777777778)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 33.57142857142857)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:36.350128,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 33.57142857142857)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:37.552845,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 33.57142857142857)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:38.808447,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 39.666666666666664)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:40.102973,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 39.666666666666664)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.870588235294118)","(19.0, 28.0, 22.0)","(26.0, 50.0, 40.76923076923077)"
11-01-2023 15:01:41.258461,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 23.333333333333332)","(26.0, 50.0, 40.90909090909091)"
