,Tat Yap,Its Luigi,Villanova,Mibin Magic,Over Slips,Aston Gray,Juice,Chloes China
15-12-2022 12:35:41.441765,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 124.46153846153847)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:42.667635,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 124.46153846153847)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:43.816049,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 124.46153846153847)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:45.032997,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 124.46153846153847)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:46.291893,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 124.46153846153847)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:47.606775,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 124.46153846153847)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:48.833757,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 124.46153846153847)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:50.065567,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:51.347723,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:52.585502,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:53.828677,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:55.053653,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:56.255055,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:57.466788,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:58.673989,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:35:59.920811,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:36:01.199464,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:36:02.431299,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:36:03.916902,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:36:05.476392,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 139.0)","(41.0, 290.0, 131.85714285714286)","(7.0, 15.5, 8.833333333333334)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 11.85)"
15-12-2022 12:36:06.898808,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 177.0)","(41.0, 290.0, 167.0)","(7.0, 15.5, 10.1)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:08.137909,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 177.0)","(41.0, 290.0, 167.0)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:09.444095,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 120.0)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:10.863873,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:12.346469,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:13.799633,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:15.367743,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:16.892190,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:18.454668,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:19.872270,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:21.203727,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:22.538164,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:23.816856,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:25.037010,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:26.251697,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:27.498373,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:28.791106,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:30.064094,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
