,Regal Sun,Jimmy Seven,Nitro Lad,Berry Berry Good,Westozi,Peppi Grove,Deuce Afloat,Justa Lil Faith,Schnoots,Tu Tu Won One Too
08-12-2022 15:11:31.350411,"(13.0, 18.0, 17.928571428571427)","(81.0, 160.0, 150.66666666666666)","(61.0, 80.0, 72.5)","(4.4, 5.2, 5.197297297297298)","(8.0, 9.2, 9.16470588235294)","(20.0, 27.0, 26.90909090909091)","(101.0, 340.0, 219.23076923076923)","(3.4, 4.2, 4.2517057569296375)","(2.7, 3.1, 3.019047619047619)","(61.0, 80.0, 72.93103448275862)"
08-12-2022 15:11:32.556444,"(13.0, 18.0, 17.928571428571427)","(81.0, 160.0, 150.66666666666666)","(61.0, 75.0, 72.5)","(4.4, 5.2, 5.242857142857143)","(8.0, 9.2, 9.176470588235293)","(20.0, 27.0, 26.192307692307693)","(101.0, 240.0, 219.23076923076923)","(3.4, 4.3, 4.257259158751696)","(2.7, 3.05, 3.0185358255451713)","(61.0, 75.0, 73.07692307692308)"
08-12-2022 15:11:33.804025,"(13.0, 18.5, 18.024193548387096)","(81.0, 150.0, 144.0)","(61.0, 75.0, 72.08333333333333)","(4.4, 5.3, 5.242857142857143)","(8.0, 9.2, 9.176470588235293)","(20.0, 27.0, 26.192307692307693)","(101.0, 240.0, 219.23076923076923)","(3.4, 4.3, 4.258055925432756)","(2.7, 3.05, 2.994047619047619)","(61.0, 75.0, 73.07692307692308)"
08-12-2022 15:11:35.021614,"(13.0, 18.0, 17.805555555555557)","(81.0, 150.0, 145.0)","(61.0, 75.0, 72.27272727272727)","(4.4, 5.2, 5.18950276243094)","(8.0, 9.4, 9.223376623376623)","(20.0, 27.0, 26.88235294117647)","(101.0, 240.0, 220.71428571428572)","(3.4, 4.3, 4.258055925432756)","(2.7, 3.0, 2.995614035087719)","(61.0, 75.0, 72.22222222222223)"
08-12-2022 15:11:36.185046,"(13.0, 18.0, 17.733333333333334)","(81.0, 150.0, 146.66666666666666)","(61.0, 75.0, 72.27272727272727)","(4.4, 5.3, 5.201587301587302)","(8.0, 9.4, 9.19718309859155)","(20.0, 27.0, 26.88235294117647)","(101.0, 240.0, 220.71428571428572)","(3.4, 4.3, 4.25708446866485)","(2.7, 3.0, 2.995614035087719)","(61.0, 75.0, 70.9090909090909)"
08-12-2022 15:11:37.368019,"(13.0, 18.0, 17.59259259259259)","(81.0, 150.0, 146.66666666666666)","(61.0, 75.0, 72.27272727272727)","(4.4, 5.3, 5.215)","(8.0, 9.4, 9.19718309859155)","(20.0, 27.0, 26.88235294117647)","(101.0, 240.0, 220.71428571428572)","(3.4, 4.3, 4.250603864734299)","(2.7, 3.05, 3.0)","(51.0, 70.0, 67.5)"
08-12-2022 15:11:38.619494,"(13.0, 18.0, 17.863013698630137)","(81.0, 150.0, 147.5)","(61.0, 75.0, 72.6923076923077)","(4.4, 5.3, 5.219117647058823)","(8.0, 9.4, 9.149473684210525)","(20.0, 27.0, 26.88235294117647)","(101.0, 230.0, 214.44444444444446)","(3.4, 4.3, 4.255251641137855)","(2.7, 3.0, 2.9944075829383885)","(51.0, 70.0, 66.42857142857143)"
08-12-2022 15:11:40.049360,"(13.0, 18.0, 17.515151515151516)","(81.0, 150.0, 148.57142857142858)","(61.0, 75.0, 73.33333333333333)","(4.4, 5.3, 5.245)","(8.0, 9.2, 9.149473684210525)","(21.0, 27.0, 26.88235294117647)","(101.0, 230.0, 214.0)","(3.4, 4.3, 4.255783783783784)","(2.7, 3.0, 2.9914285714285715)","(51.0, 70.0, 65.23809523809524)"
08-12-2022 15:11:41.246738,"(13.0, 18.0, 17.515151515151516)","(81.0, 150.0, 148.57142857142858)","(61.0, 75.0, 73.33333333333333)","(4.4, 5.3, 5.245)","(8.0, 9.2, 9.149473684210525)","(21.0, 27.0, 26.88235294117647)","(101.0, 230.0, 196.66666666666666)","(3.4, 4.3, 4.246375464684015)","(2.7, 3.0, 2.9914285714285715)","(51.0, 70.0, 63.68421052631579)"
08-12-2022 15:11:42.417208,"(13.0, 18.0, 17.466666666666665)","(81.0, 190.0, 178.88888888888889)","(61.0, 70.0, 69.0)","(4.4, 5.3, 5.25)","(8.0, 9.4, 9.244444444444444)","(21.0, 27.0, 26.91304347826087)","(101.0, 210.0, 194.0)","(3.4, 4.3, 4.247069597069597)","(2.7, 3.0, 2.994487632508834)","(51.0, 65.0, 63.75)"
