,Blackwood Johnny,Dewana Natural,Nitro Harvey,Disco Dance,Nitro Cannon,Dewana Boogie,Blitz Danger,Find Doh
10,"[datetime.datetime(2022, 11, 28, 18, 42, 32, 687777), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 32, 687777), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 32, 687777), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 32, 687777), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 32, 687777), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 32, 687777), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 32, 687777), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 32, 687777), 21.0, 70.0]"
11,"[datetime.datetime(2022, 11, 28, 18, 42, 33, 817204), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 33, 817204), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 33, 817204), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 33, 817204), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 33, 817204), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 33, 817204), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 33, 817204), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 33, 817204), 21.0, 70.0]"
12,"[datetime.datetime(2022, 11, 28, 18, 42, 34, 949211), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 34, 949211), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 34, 949211), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 34, 949211), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 34, 949211), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 34, 949211), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 34, 949211), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 34, 949211), 21.0, 70.0]"
13,"[datetime.datetime(2022, 11, 28, 18, 42, 36, 74202), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 36, 74202), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 36, 74202), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 36, 74202), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 36, 74202), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 36, 74202), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 36, 74202), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 36, 74202), 21.0, 70.0]"
14,"[datetime.datetime(2022, 11, 28, 18, 42, 37, 213081), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 37, 213081), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 37, 213081), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 37, 213081), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 37, 213081), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 37, 213081), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 37, 213081), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 37, 213081), 21.0, 70.0]"
15,"[datetime.datetime(2022, 11, 28, 18, 42, 38, 343690), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 38, 343690), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 38, 343690), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 38, 343690), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 38, 343690), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 38, 343690), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 38, 343690), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 38, 343690), 21.0, 70.0]"
16,"[datetime.datetime(2022, 11, 28, 18, 42, 39, 472478), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 39, 472478), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 39, 472478), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 39, 472478), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 39, 472478), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 39, 472478), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 39, 472478), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 39, 472478), 21.0, 70.0]"
17,"[datetime.datetime(2022, 11, 28, 18, 42, 40, 612965), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 40, 612965), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 40, 612965), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 40, 612965), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 40, 612965), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 40, 612965), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 40, 612965), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 40, 612965), 21.0, 70.0]"
18,"[datetime.datetime(2022, 11, 28, 18, 42, 41, 759729), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 41, 759729), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 41, 759729), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 41, 759729), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 41, 759729), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 41, 759729), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 41, 759729), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 41, 759729), 21.0, 70.0]"
19,"[datetime.datetime(2022, 11, 28, 18, 42, 42, 903396), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 42, 903396), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 42, 903396), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 42, 903396), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 42, 903396), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 42, 903396), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 42, 903396), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 42, 903396), 21.0, 70.0]"
