,Stay Safe,Hes A Lucky Lad,Strike Now,Stylax,Pray Again,Dads Bigheaded,Ripon Falls,Melarab,Jarman,Losing Ticket,Tell Nothin,Time Stands Still
07-12-2022 18:59:54.955185,"(5.0, 7.2, 6.66)","(8.5, 11.5, 10.954545454545455)","(6.0, 7.0, 6.82)","(4.0, 4.8, 4.6)","(5.5, 7.2, 6.800000000000001)","(9.0, 15.5, 14.11111111111111)","(81.0, 110.0, 83.33333333333333)","(8.0, 11.0, 10.594594594594595)","(26.0, 36.0, 35.142857142857146)","(91.0, 150.0, 130.0)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 18:59:56.647837,"(5.0, 7.2, 6.66)","(8.5, 11.5, 10.954545454545455)","(6.0, 7.0, 6.82)","(4.0, 4.8, 4.6)","(5.5, 7.2, 6.800000000000001)","(9.0, 15.5, 14.11111111111111)","(81.0, 110.0, 83.33333333333333)","(8.0, 11.0, 10.594594594594595)","(26.0, 36.0, 35.142857142857146)","(91.0, 150.0, 130.0)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 18:59:58.296212,"(5.0, 7.2, 6.66)","(8.5, 11.5, 10.954545454545455)","(6.0, 7.0, 6.82)","(4.0, 4.8, 4.6)","(5.5, 7.2, 6.707692307692308)","(9.0, 15.5, 14.11111111111111)","(81.0, 110.0, 83.33333333333333)","(8.0, 11.0, 10.594594594594595)","(26.0, 36.0, 35.142857142857146)","(91.0, 150.0, 130.0)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:00.033373,"(5.0, 7.2, 6.66)","(8.5, 11.5, 10.954545454545455)","(6.0, 7.0, 6.699999999999999)","(4.0, 4.8, 4.6)","(5.5, 7.2, 6.707692307692308)","(9.0, 15.5, 14.11111111111111)","(81.0, 110.0, 83.33333333333333)","(8.0, 11.0, 10.594594594594595)","(26.0, 36.0, 35.142857142857146)","(91.0, 150.0, 130.0)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:01.759137,"(5.0, 7.0, 6.603960396039604)","(8.5, 11.5, 10.954545454545455)","(6.0, 7.0, 6.699999999999999)","(4.0, 4.8, 4.6)","(5.5, 7.2, 6.707692307692308)","(9.0, 15.5, 14.11111111111111)","(81.0, 110.0, 90.0)","(8.0, 11.0, 10.594594594594595)","(26.0, 36.0, 35.6)","(91.0, 150.0, 130.0)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:03.818038,"(5.0, 7.0, 6.603960396039604)","(8.5, 11.5, 10.954545454545455)","(6.0, 7.0, 6.699999999999999)","(4.0, 4.8, 4.6)","(5.5, 7.2, 6.742857142857143)","(9.0, 15.5, 14.25)","(81.0, 110.0, 86.0)","(8.0, 11.0, 10.594594594594595)","(26.0, 36.0, 34.72727272727273)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:05.893168,"(5.0, 7.0, 6.414634146341464)","(8.5, 11.5, 11.4)","(6.0, 7.0, 6.699999999999999)","(4.0, 4.8, 4.613333333333333)","(5.5, 7.2, 6.742857142857143)","(9.0, 15.5, 14.25)","(81.0, 110.0, 86.0)","(8.0, 11.0, 10.594594594594595)","(26.0, 42.0, 34.72727272727273)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:07.596015,"(5.0, 7.0, 6.414634146341464)","(8.5, 13.0, 11.4)","(6.0, 7.0, 6.699999999999999)","(4.0, 4.8, 4.613333333333333)","(5.5, 7.2, 6.8)","(9.0, 15.5, 14.25)","(81.0, 110.0, 85.0)","(8.0, 11.0, 10.594594594594595)","(26.0, 42.0, 38.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:09.536731,"(5.0, 7.0, 6.41747572815534)","(8.5, 13.0, 12.793103448275861)","(6.0, 7.0, 6.699999999999999)","(4.0, 4.8, 4.6)","(5.5, 7.0, 6.8)","(9.0, 15.5, 14.25)","(81.0, 95.0, 85.0)","(8.0, 11.0, 10.594594594594595)","(26.0, 40.0, 38.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:11.182669,"(5.0, 7.0, 6.41747572815534)","(8.5, 13.0, 12.793103448275861)","(6.0, 7.0, 6.699999999999999)","(4.0, 4.8, 4.6)","(5.5, 7.0, 6.8)","(9.0, 15.5, 14.25)","(81.0, 95.0, 85.0)","(8.0, 11.0, 10.594594594594595)","(26.0, 40.0, 38.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
