,Coalville Flyer,Black Eyed Peas,Charizard,Poppy To Burn,Stengle,Chers Hand,Boot A Dream
05-01-2023 16:14:29.827787,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:30.863301,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:31.881798,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:32.964491,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:33.987847,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:35.036677,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:36.022466,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:36.948834,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:37.885621,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:39.080595,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:40.258952,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:41.304863,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:42.309263,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 25.8)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.0, 13.075)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:43.250486,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:44.258270,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:45.267744,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:46.299485,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:47.306961,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:48.312970,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:49.282060,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:50.253736,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:51.278801,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:52.304841,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:53.249957,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:54.184720,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:55.184590,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:56.150768,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:57.140420,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:58.069073,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:14:59.050769,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:00.074290,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:01.186409,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:02.233482,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:03.289241,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:04.261467,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:05.269744,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:06.308087,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:07.353519,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:08.375648,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:09.357539,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:10.297513,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:11.268371,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:12.244095,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:13.290317,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:14.261774,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:15.272430,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:16.247327,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:17.332901,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:18.393944,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:19.519623,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:20.537420,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:21.550279,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:22.575018,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:23.615115,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:24.685196,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:25.830438,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:26.912091,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:27.971491,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:28.971237,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:29.894441,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:30.832882,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
