,Fly For Yulong,Demurral,Kings County,Tower Road,Age Of Innocence,Marndarra
16-12-2022 12:40:47.560414,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:48.473303,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:49.379973,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:50.245078,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:51.094823,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:51.973421,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:52.843690,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:53.703003,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:54.675711,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:55.560370,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:56.415980,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:57.307766,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:58.184697,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:40:59.120496,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:00.053937,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:01.017442,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 22.857142857142858)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:01.921504,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 20.25)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:02.837140,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 20.25)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3965625)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:03.808573,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 20.25)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3965625)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:04.692591,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 20.25)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3965625)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:05.579035,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 20.25)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3965625)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:06.431357,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 20.25)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3965625)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:07.306559,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 20.25)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3965625)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:08.201758,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:09.060288,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:09.933751,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:10.874954,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:11.772214,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:12.621203,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
