,Gospel Musketeer,Just A Irish Lad,Kwontro,Mister Wayside,Frigerator,Yankee Indian
16-12-2022 15:01:00.176942,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 3.025)"
16-12-2022 15:01:01.196454,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:02.250573,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:03.308561,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:04.242395,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:05.269511,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:06.338930,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:07.206952,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:08.166380,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:09.365818,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:10.394426,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:11.290025,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:12.171057,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:13.175159,"(9.0, 30.0, 22.733333333333334)","(5.5, 9.6, 8.428571428571427)","(19.0, 450.0, 305.0)","(2.35, 2.6, 2.432857142857143)","(13.0, 23.0, 16.65714285714286)","(2.9, 3.65, 2.703846153846154)"
16-12-2022 15:01:14.092523,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3408620689655173)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.076315789473684)"
16-12-2022 15:01:15.075129,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.8857142857142857)"
16-12-2022 15:01:16.136952,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.8857142857142857)"
16-12-2022 15:01:17.071980,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.8857142857142857)"
16-12-2022 15:01:18.168718,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.8423076923076924)"
16-12-2022 15:01:19.118257,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.8423076923076924)"
16-12-2022 15:01:20.061278,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.00625)"
16-12-2022 15:01:21.058446,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.00625)"
16-12-2022 15:01:22.080316,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.2021739130434783)"
16-12-2022 15:01:23.044461,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.2021739130434783)"
16-12-2022 15:01:24.036521,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.2021739130434783)"
