,Magic Bertie,Yankee Banner,Lumin,My Gal Val,Rich Paris,Toffee Street,Alesha Lily,Atlanna,Lady Merchant,World Action
08-12-2022 12:57:54.039897,"(11.0, 15.0, 14.324324324324325)","(101.0, 770.0, 664.0)","(10.0, 12.0, 12.123376623376624)","(31.0, 48.0, 47.333333333333336)","(3.3, 3.8, 3.867241379310345)","(3.0, 3.5, 3.382251082251082)","(21.0, 32.0, 33.63636363636363)","(71.0, 160.0, 135.0)","(31.0, 55.0, 50.45)","(4.0, 4.7, 4.626506024096385)"
08-12-2022 12:57:55.380609,"(11.0, 14.5, 14.324324324324325)","(101.0, 760.0, 664.0)","(10.0, 12.5, 12.123376623376624)","(31.0, 48.0, 47.333333333333336)","(3.3, 3.9, 3.867241379310345)","(3.0, 3.4, 3.382251082251082)","(21.0, 34.0, 33.63636363636363)","(71.0, 150.0, 135.0)","(31.0, 55.0, 50.45)","(4.0, 4.7, 4.626506024096385)"
08-12-2022 12:57:56.740941,"(11.0, 14.5, 14.266666666666667)","(101.0, 740.0, 513.3333333333334)","(10.0, 12.5, 12.048148148148147)","(31.0, 48.0, 47.333333333333336)","(3.3, 3.95, 3.902285714285714)","(3.0, 3.35, 3.344212962962963)","(21.0, 34.0, 33.23076923076923)","(71.0, 150.0, 135.0)","(31.0, 55.0, 53.63636363636363)","(4.0, 4.7, 4.58109756097561)"
08-12-2022 12:57:58.106526,"(11.0, 14.5, 14.266666666666667)","(101.0, 740.0, 448.57142857142856)","(10.0, 12.5, 12.007575757575758)","(31.0, 48.0, 47.27272727272727)","(3.3, 4.0, 3.966666666666667)","(3.0, 3.35, 3.3270089285714284)","(21.0, 34.0, 33.473684210526315)","(71.0, 150.0, 135.0)","(31.0, 55.0, 53.63636363636363)","(4.0, 4.6, 4.58109756097561)"
08-12-2022 12:57:59.421837,"(11.0, 14.5, 14.266666666666667)","(101.0, 720.0, 506.6666666666667)","(10.0, 12.5, 12.010416666666666)","(31.0, 48.0, 47.27272727272727)","(3.3, 4.0, 3.9814814814814814)","(3.0, 3.35, 3.3068)","(21.0, 34.0, 33.473684210526315)","(71.0, 150.0, 135.0)","(31.0, 55.0, 53.63636363636363)","(4.0, 4.7, 4.584177215189873)"
08-12-2022 12:58:00.948594,"(11.0, 14.5, 14.266666666666667)","(101.0, 720.0, 445.7142857142857)","(10.0, 12.5, 12.138461538461538)","(31.0, 48.0, 45.6)","(3.3, 4.0, 3.9924242424242427)","(3.0, 3.3, 3.287632508833922)","(21.0, 34.0, 33.4)","(71.0, 150.0, 135.0)","(31.0, 55.0, 52.22222222222222)","(4.0, 4.7, 4.612857142857143)"
08-12-2022 12:58:02.351931,"(11.0, 14.5, 14.157894736842104)","(101.0, 710.0, 477.5)","(10.0, 12.5, 12.19)","(31.0, 48.0, 46.666666666666664)","(3.3, 4.1, 4.048913043478261)","(3.0, 3.3, 3.2871323529411764)","(21.0, 34.0, 33.2)","(71.0, 150.0, 130.71428571428572)","(31.0, 55.0, 52.94117647058823)","(4.0, 4.6, 4.525581395348837)"
08-12-2022 12:58:03.787961,"(11.0, 14.5, 14.157894736842104)","(101.0, 700.0, 503.6363636363636)","(10.0, 12.5, 12.19)","(31.0, 48.0, 46.666666666666664)","(3.3, 4.1, 4.0773809523809526)","(3.0, 3.3, 3.28155487804878)","(21.0, 34.0, 32.90909090909091)","(71.0, 150.0, 132.0)","(31.0, 55.0, 52.58620689655172)","(4.0, 4.6, 4.521311475409836)"
08-12-2022 12:58:05.311756,"(11.0, 14.5, 14.157894736842104)","(101.0, 690.0, 558.75)","(10.0, 12.5, 12.173076923076923)","(31.0, 48.0, 46.666666666666664)","(3.3, 4.2, 4.1160919540229886)","(3.0, 3.3, 3.2780797101449273)","(21.0, 34.0, 33.07692307692308)","(71.0, 150.0, 136.5)","(31.0, 55.0, 52.96774193548387)","(4.0, 4.6, 4.521311475409836)"
08-12-2022 12:58:06.857408,"(11.0, 14.5, 14.157894736842104)","(101.0, 350.0, 341.1111111111111)","(10.0, 12.5, 12.173076923076923)","(31.0, 48.0, 46.666666666666664)","(3.3, 4.2, 4.1219269102990035)","(3.0, 3.3, 3.2769083969465647)","(21.0, 34.0, 33.07692307692308)","(71.0, 150.0, 132.0)","(31.0, 55.0, 52.529411764705884)","(4.0, 4.6, 4.498373983739837)"
