,Rothwell Whinny,Federal Flash,Pennys Jade,Trending Xara,Call Waiting,Caesars Palace,Stopped Short
11-01-2023 11:11:37.927449,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:38.933480,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:39.941324,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:40.924727,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:41.918088,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:42.897206,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:43.916979,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:44.935062,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:45.900115,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:46.892368,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:47.866835,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
