,Poorans Ganguly,Harley John,Hurunui Ice,Sweet Junior,Homebush Lovely,Cosmic Teddy,Princely Asset,Roanne
06-01-2023 09:08:18.180145,"(11.0, 25.0, 15.666666666666668)","(11.0, 26.0, 20.333333333333336)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 88.73529411764706)","(31.0, 320.0, 287.6666666666667)","(7.0, 15.5, 11.45)","(11.0, 26.0, 16.0)","(1.6, 1.57, 1.5675000000000001)"
06-01-2023 09:08:19.258010,"(11.0, 25.0, 15.333333333333332)","(11.0, 26.0, 20.333333333333336)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 32.3)","(31.0, 320.0, 287.6666666666667)","(7.0, 15.5, 11.45)","(11.0, 26.0, 16.0)","(1.6, 1.64, 1.636)"
06-01-2023 09:08:20.413264,"(11.0, 23.0, 16.75)","(11.0, 25.0, 18.6)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 32.3)","(31.0, 320.0, 287.6666666666667)","(7.0, 15.0, 11.2)","(11.0, 26.0, 16.0)","(1.6, 1.64, 1.636)"
06-01-2023 09:08:21.513028,"(11.0, 23.0, 16.75)","(11.0, 25.0, 20.31428571428571)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 32.3)","(31.0, 320.0, 287.6666666666667)","(7.0, 15.0, 11.2)","(11.0, 26.0, 16.0)","(1.6, 1.64, 1.636)"
06-01-2023 09:08:22.548605,"(11.0, 23.0, 16.75)","(11.0, 25.0, 22.47692307692308)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 32.3)","(31.0, 320.0, 287.6666666666667)","(7.0, 15.0, 11.2)","(11.0, 26.0, 16.0)","(1.6, 1.64, 1.636)"
06-01-2023 09:08:23.615054,"(11.0, 23.0, 16.75)","(11.0, 25.0, 22.47692307692308)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 32.3)","(31.0, 320.0, 287.6666666666667)","(7.0, 15.0, 11.2)","(11.0, 26.0, 16.0)","(1.6, 1.64, 1.636)"
06-01-2023 09:08:24.651078,"(11.0, 23.0, 16.75)","(11.0, 25.0, 20.542857142857144)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 32.3)","(31.0, 320.0, 287.6666666666667)","(7.0, 14.5, 9.175)","(11.0, 26.0, 16.0)","(1.6, 1.64, 1.636)"
06-01-2023 09:08:25.741632,"(11.0, 23.0, 20.833333333333332)","(11.0, 25.0, 20.542857142857144)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 32.3)","(31.0, 320.0, 287.6666666666667)","(7.0, 14.5, 8.690909090909091)","(11.0, 26.0, 21.428571428571427)","(1.6, 1.64, 1.6179999999999999)"
06-01-2023 09:08:26.795165,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 88.5)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.690909090909091)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6179999999999999)"
06-01-2023 09:08:27.865861,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 88.5)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.690909090909091)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6179999999999999)"
