,Coppola Bale,Gas Man,Treloar Bale,French Wood,Rainbow Storm,Prue Excess
14-12-2022 13:51:31.817514,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.558823529411764)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:32.920693,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.558823529411764)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:33.869767,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.558823529411764)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:34.968942,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.558823529411764)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:36.026981,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.558823529411764)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:37.034382,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.558823529411764)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:38.067774,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 18.75)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:39.117198,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 18.75)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:40.232475,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 18.75)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:41.291529,"(4.2, 7.6, 4.88)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 18.75)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:42.300363,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:43.271035,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:44.300233,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:45.299360,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:46.229087,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:47.276275,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:48.360172,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:49.466610,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:50.539165,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:51.622024,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:52.689998,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:53.721684,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:54.730240,"(4.2, 7.6, 5.4879999999999995)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:55.774221,"(4.2, 7.6, 6.552727272727273)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:57.088332,"(4.2, 7.6, 6.552727272727273)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:58.383130,"(4.2, 7.6, 6.552727272727273)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:51:59.732775,"(4.2, 7.6, 6.552727272727273)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:00.847081,"(4.2, 7.6, 6.552727272727273)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:01.895417,"(4.2, 7.6, 6.552727272727273)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:02.924097,"(4.2, 7.6, 6.552727272727273)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:03.916454,"(4.2, 7.6, 6.552727272727273)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:05.062403,"(4.2, 7.6, 6.977777777777778)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:06.116267,"(4.2, 7.6, 6.977777777777778)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:07.203042,"(4.2, 7.6, 6.977777777777778)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:08.343053,"(4.2, 7.6, 6.977777777777778)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:09.591524,"(4.2, 7.6, 6.977777777777778)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:10.728662,"(4.2, 7.6, 6.977777777777778)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.657142857142857)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:11.815674,"(4.2, 7.6, 6.977777777777778)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:12.799207,"(4.2, 7.6, 6.977777777777778)","(2.1, 2.94, 2.628)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:13.887865,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:14.985996,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:16.023530,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
