,Police,Auron,Edification,Annakuri,Ciao Bicky,Native Bee,Nasa,Golden Athena,Flying Shamus,Ixelles,Cat In The Raine,Persaga,Bold Zip
06-01-2023 17:22:43.017520,"(2.5, 2.9, 2.784485981308411)","(19.0, 60.0, 55.230769230769226)","(4.6, 6.8, 6.35)","(8.0, 12.5, 12.14102564102564)","(14.0, 23.0, 18.125)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 34.0, 29.32)","(11.0, 14.0, 13.958333333333334)","(31.0, 160.0, 144.28571428571428)","(21.0, 60.0, 33.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 67.22222222222223)"
06-01-2023 17:22:44.586038,"(2.5, 2.9, 2.784485981308411)","(19.0, 60.0, 40.0)","(4.6, 6.8, 6.375)","(8.0, 12.5, 12.14102564102564)","(14.0, 23.0, 18.125)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 34.0, 29.5)","(11.0, 14.0, 13.958333333333334)","(31.0, 160.0, 144.28571428571428)","(21.0, 60.0, 33.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 68.0)"
06-01-2023 17:22:46.240626,"(2.5, 2.9, 2.784485981308411)","(19.0, 60.0, 40.0)","(4.6, 6.8, 6.375)","(8.0, 12.5, 12.14102564102564)","(14.0, 23.0, 18.125)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 34.0, 29.5)","(11.0, 14.0, 13.958333333333334)","(31.0, 160.0, 144.28571428571428)","(21.0, 60.0, 33.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 68.0)"
06-01-2023 17:22:47.753281,"(2.5, 2.9, 2.784485981308411)","(19.0, 60.0, 40.0)","(4.6, 6.8, 6.375)","(8.0, 12.5, 12.14102564102564)","(14.0, 23.0, 18.125)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 34.0, 29.5)","(11.0, 14.0, 13.958333333333334)","(31.0, 160.0, 144.28571428571428)","(21.0, 60.0, 33.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 68.0)"
06-01-2023 17:22:49.322377,"(2.5, 2.9, 2.784485981308411)","(19.0, 60.0, 40.0)","(4.6, 6.8, 6.375)","(8.0, 12.5, 12.14102564102564)","(14.0, 23.0, 18.125)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 34.0, 29.5)","(11.0, 14.0, 13.958333333333334)","(31.0, 160.0, 144.28571428571428)","(21.0, 60.0, 33.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 68.0)"
06-01-2023 17:22:50.784833,"(2.5, 2.9, 2.784485981308411)","(19.0, 60.0, 40.0)","(4.6, 6.8, 6.375)","(8.0, 12.5, 12.14102564102564)","(14.0, 23.0, 18.125)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 34.0, 29.5)","(11.0, 14.0, 13.958333333333334)","(31.0, 160.0, 125.0)","(21.0, 60.0, 34.0)","(31.0, 130.0, 92.15384615384616)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:22:52.314297,"(2.5, 2.9, 2.7843636363636364)","(19.0, 55.0, 38.333333333333336)","(4.6, 6.8, 6.375)","(8.0, 12.0, 11.625)","(14.0, 22.0, 17.416666666666668)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.352941176470589)","(20.0, 32.0, 29.789473684210527)","(11.0, 14.0, 13.958333333333334)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 92.15384615384616)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:22:53.911986,"(2.5, 2.9, 2.7843636363636364)","(19.0, 55.0, 34.166666666666664)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.381578947368421)","(14.0, 22.0, 17.416666666666668)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.352941176470589)","(20.0, 32.0, 29.789473684210527)","(11.0, 14.0, 13.958333333333334)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:22:55.503339,"(2.5, 2.9, 2.7843636363636364)","(19.0, 55.0, 34.166666666666664)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.381578947368421)","(14.0, 22.0, 17.416666666666668)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.352941176470589)","(20.0, 32.0, 29.789473684210527)","(11.0, 14.0, 13.958333333333334)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:22:57.036696,"(2.5, 2.9, 2.7843636363636364)","(19.0, 55.0, 34.166666666666664)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.381578947368421)","(14.0, 22.0, 17.416666666666668)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.352941176470589)","(20.0, 32.0, 29.789473684210527)","(11.0, 14.0, 11.04)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
