,Cornish Smuggler,Rambunctious,Illawong Danny,Wichita Kansas,Good Feelings,River Patrol Nz,Layden,Spicey Major,Starzzz Destiny
11-01-2023 20:14:13.267742,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:14.660394,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:16.212591,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:17.557330,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:19.081589,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:20.453313,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:22.075469,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:23.733444,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:25.056044,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:26.426920,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
