,San Lorenzo,All Show,Sweet Vibes,Kingsville Flyer,Flora Colossus,Velocity Zaylia,Gondola
12-01-2023 18:27:04.629474,"(1.5, 1.92, 1.7762499999999999)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:05.691370,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:06.806153,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:07.846299,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:08.904386,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:09.931682,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:10.991096,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:12.089288,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:13.164401,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:14.352065,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:15.567546,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:16.651614,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:17.729309,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:18.851720,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:20.058066,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:21.206009,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:22.338098,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
