,Boomsong,Flora,No Statement,Bedtime Stories,Meod,Tsarina Sophia,Upside,Dual Escape,Mr Polar
08-12-2022 15:36:07.342281,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.5)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9995774647887323)","(3.0, 3.65, 3.55)","(31.0, 40.0, 36.57142857142857)","(31.0, 130.0, 106.5)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:08.800280,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.083333333333334)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9995774647887323)","(3.0, 3.65, 3.4653846153846155)","(31.0, 40.0, 36.57142857142857)","(31.0, 130.0, 106.5)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:10.192615,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.083333333333334)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9995774647887323)","(3.0, 3.65, 3.4653846153846155)","(31.0, 40.0, 36.57142857142857)","(31.0, 130.0, 106.5)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:11.588409,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.083333333333334)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9995774647887323)","(3.0, 3.65, 3.4653846153846155)","(31.0, 40.0, 36.57142857142857)","(31.0, 130.0, 106.5)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:13.023159,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.083333333333334)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.99375)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 130.0, 106.5)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:14.374747,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 130.0, 106.5)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:15.689851,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 130.0, 106.5)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:16.983852,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 300.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 130.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:18.251516,"(2.7, 3.5, 3.359375)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:19.623549,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:20.986184,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:22.275241,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
