,Nightwatch Star,Eagle Uno,Parabellum,Knight Walker,Stilton,Laker,Pocket More For Less Nz,Happy As,Caesars Rockstar,Neville Shannon
10-01-2023 19:51:40.762158,"(2.45, 3.5, 3.375)","(3.7, 4.1, 4.061538461538461)","(5.0, 7.0, 6.624)","(101.0, 230.0, 201.875)","(17.0, 23.0, 23.0)","(101.0, 550.0, 425.0)","(5.0, 99999, 99990)","(15.0, 23.0, 22.5)","(41.0, 55.0, 52.42857142857143)","(31.0, 48.0, 42.5)"
10-01-2023 19:51:42.238233,"(2.45, 3.4, 3.375)","(3.7, 4.2, 4.061538461538461)","(5.0, 7.0, 6.624)","(101.0, 230.0, 192.5)","(17.0, 24.0, 22.0)","(101.0, 550.0, 425.0)","(5.0, 99999, 99990)","(15.0, 24.0, 21.75)","(41.0, 55.0, 52.54545454545455)","(31.0, 48.0, 42.46153846153846)"
10-01-2023 19:51:43.747693,"(2.45, 3.4, 3.388888888888889)","(3.7, 4.1, 4.08)","(5.0, 7.0, 6.707692307692308)","(101.0, 230.0, 192.5)","(17.0, 24.0, 20.571428571428573)","(101.0, 550.0, 425.0)","(5.0, 99999, 99990)","(15.0, 24.0, 21.75)","(41.0, 55.0, 49.6)","(31.0, 48.0, 42.375)"
10-01-2023 19:51:45.185435,"(2.45, 3.4, 3.3923076923076922)","(3.7, 4.1, 4.08)","(5.0, 6.8, 6.707692307692308)","(101.0, 230.0, 192.5)","(17.0, 22.0, 20.7)","(101.0, 550.0, 487.5)","(5.0, 99999, 99990)","(15.0, 24.0, 22.846153846153847)","(41.0, 55.0, 52.0)","(31.0, 48.0, 42.6)"
10-01-2023 19:51:46.630813,"(2.45, 3.4, 3.375)","(3.7, 4.2, 4.142857142857143)","(5.0, 7.0, 6.452054794520548)","(101.0, 230.0, 222.5)","(17.0, 22.0, 20.7)","(101.0, 550.0, 425.0)","(5.0, 99999, 99990)","(15.0, 25.0, 22.9)","(41.0, 70.0, 62.31578947368421)","(31.0, 48.0, 42.6)"
10-01-2023 19:51:47.969465,"(2.45, 3.4, 3.3916666666666666)","(3.7, 4.2, 4.133333333333334)","(5.0, 7.0, 6.692857142857143)","(101.0, 230.0, 222.5)","(17.0, 22.0, 20.7)","(101.0, 550.0, 425.0)","(5.0, 99999, 99990)","(15.0, 25.0, 22.9)","(41.0, 65.0, 56.0)","(31.0, 48.0, 42.6)"
10-01-2023 19:51:49.359442,"(2.45, 3.4, 3.3916666666666666)","(3.7, 4.1, 4.042307692307692)","(5.0, 6.8, 6.5)","(101.0, 230.0, 222.5)","(17.0, 22.0, 20.7)","(101.0, 550.0, 425.0)","(5.0, 99999, 99990)","(15.0, 25.0, 23.2)","(41.0, 65.0, 56.0)","(31.0, 48.0, 42.6)"
10-01-2023 19:51:50.705290,"(2.45, 3.4, 3.3916666666666666)","(3.9, 4.1, 4.042307692307692)","(5.0, 6.6, 6.4)","(101.0, 230.0, 222.5)","(17.0, 22.0, 20.7)","(101.0, 550.0, 420.0)","(5.0, 99999, 99990)","(16.0, 24.0, 23.2)","(41.0, 65.0, 56.0)","(31.0, 48.0, 42.6)"
10-01-2023 19:51:52.166958,"(2.45, 3.4, 3.3916666666666666)","(3.9, 4.1, 4.042307692307692)","(5.0, 6.6, 6.4)","(101.0, 230.0, 221.8181818181818)","(17.0, 22.0, 20.7)","(101.0, 540.0, 415.0)","(5.0, 99999, 99990)","(16.0, 24.0, 23.2)","(41.0, 65.0, 58.57142857142857)","(31.0, 48.0, 42.6)"
10-01-2023 19:51:53.546762,"(2.5, 3.4, 3.3916666666666666)","(3.7, 4.1, 4.042307692307692)","(5.0, 6.6, 6.4)","(101.0, 230.0, 221.8181818181818)","(17.0, 22.0, 20.36842105263158)","(101.0, 530.0, 415.0)","(5.0, 99999, 99990)","(16.0, 24.0, 22.9)","(41.0, 65.0, 59.9)","(31.0, 48.0, 41.5)"
10-01-2023 19:51:54.926119,"(2.5, 3.4, 3.3916666666666666)","(3.7, 4.1, 4.042307692307692)","(5.0, 6.6, 6.4)","(101.0, 230.0, 221.8181818181818)","(17.0, 21.0, 20.35)","(101.0, 530.0, 415.0)","(5.0, 99999, 99990)","(16.0, 25.0, 22.9)","(41.0, 65.0, 59.9)","(31.0, 48.0, 40.90909090909091)"
10-01-2023 19:51:56.384261,"(2.5, 3.4, 3.3916666666666666)","(3.7, 4.1, 4.048275862068965)","(5.0, 6.6, 6.4)","(101.0, 230.0, 221.8181818181818)","(17.0, 21.0, 20.35)","(101.0, 530.0, 415.0)","(5.0, 99999, 99990)","(16.0, 25.0, 22.9)","(41.0, 65.0, 56.0)","(31.0, 48.0, 39.333333333333336)"
10-01-2023 19:51:57.748920,"(2.5, 3.4, 3.396875)","(3.7, 4.1, 4.048275862068965)","(5.0, 6.6, 6.4)","(101.0, 230.0, 221.8181818181818)","(17.0, 21.0, 20.35)","(101.0, 530.0, 415.0)","(5.0, 99999, 99990)","(16.0, 25.0, 22.9)","(41.0, 65.0, 56.0)","(31.0, 48.0, 39.333333333333336)"
10-01-2023 19:51:59.102690,"(2.5, 3.55, 3.404090909090909)","(3.7, 4.2, 4.129411764705883)","(5.0, 6.6, 6.37037037037037)","(101.0, 230.0, 221.8181818181818)","(17.0, 21.0, 20.133333333333333)","(101.0, 530.0, 415.0)","(5.0, 99999, 99990)","(16.0, 25.0, 22.9)","(41.0, 65.0, 56.0)","(31.0, 48.0, 39.333333333333336)"
10-01-2023 19:52:00.499063,"(2.5, 3.55, 3.404090909090909)","(3.7, 4.3, 3.9746478873239437)","(5.0, 6.6, 6.204878048780488)","(101.0, 230.0, 221.8181818181818)","(17.0, 21.0, 20.071428571428573)","(101.0, 530.0, 415.0)","(5.0, 99999, 99990)","(16.0, 25.0, 22.9)","(41.0, 65.0, 56.0)","(31.0, 48.0, 40.90909090909091)"
10-01-2023 19:52:01.857699,"(2.5, 3.55, 3.404090909090909)","(3.7, 4.3, 4.1454545454545455)","(5.0, 6.6, 6.24)","(101.0, 230.0, 221.0)","(17.0, 21.0, 20.071428571428573)","(101.0, 530.0, 392.0)","(5.0, 99999, 99990)","(16.0, 25.0, 22.9)","(41.0, 65.0, 56.0)","(31.0, 48.0, 40.90909090909091)"
10-01-2023 19:52:03.249249,"(2.5, 3.55, 3.404090909090909)","(3.6, 4.2, 4.022222222222222)","(5.5, 6.6, 6.220408163265306)","(101.0, 230.0, 217.14285714285714)","(17.0, 21.0, 20.0)","(101.0, 530.0, 446.66666666666663)","(5.0, 99999, 99990)","(17.0, 25.0, 22.9)","(31.0, 65.0, 56.0)","(31.0, 48.0, 39.333333333333336)"
10-01-2023 19:52:04.692943,"(2.5, 3.55, 3.404090909090909)","(3.6, 4.1, 4.016666666666667)","(5.5, 6.6, 6.2125)","(101.0, 230.0, 217.14285714285714)","(17.0, 21.0, 19.8)","(101.0, 520.0, 446.66666666666663)","(5.0, 99999, 99990)","(17.0, 25.0, 23.5)","(31.0, 65.0, 46.42857142857143)","(31.0, 48.0, 39.333333333333336)"
