,Daves Deal,Nighthawk Swift,Maxima,Homebush Bentley,Lucas Jewel,Diamond Georgio,Ginger Shaw,Its Better
08-12-2022 13:53:08.053588,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:09.208789,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:10.375631,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:11.496849,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:12.768662,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:14.040581,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:15.353102,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:16.674781,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:18.011450,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:19.291632,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
