,Nerrina Lolita,Highground,Sethlans,Dollar Dollar,Thunder Knob,Imagine That,Under Par,Heroic Angel,Boomko,Motherlode
16-12-2022 13:51:00.513049,"(7.5, 8.2, 7.829473684210526)","(2.45, 3.4, 3.0111999999999997)","(17.0, 24.0, 21.647058823529413)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 18.75)","(15.0, 23.0, 22.0)","(11.0, 14.0, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 105.71428571428572)","(10.0, 22.0, 20.25)"
16-12-2022 13:51:01.804378,"(7.5, 8.0, 7.907692307692308)","(2.45, 3.4, 3.13)","(17.0, 24.0, 21.647058823529413)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.5)","(15.0, 23.0, 22.0)","(11.0, 13.5, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 105.71428571428572)","(10.0, 22.0, 20.25)"
16-12-2022 13:51:03.066073,"(7.5, 8.0, 7.9399999999999995)","(2.45, 3.4, 3.13)","(17.0, 24.0, 21.647058823529413)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.5)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 105.71428571428572)","(10.0, 22.0, 20.25)"
16-12-2022 13:51:04.377881,"(7.5, 8.0, 7.955555555555556)","(2.45, 3.4, 3.13)","(17.0, 24.0, 21.272727272727273)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.5)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:05.613024,"(7.5, 8.0, 7.955555555555556)","(2.45, 3.4, 3.13)","(17.0, 24.0, 21.272727272727273)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.5)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:06.800970,"(7.5, 8.0, 7.927272727272727)","(2.45, 3.4, 3.0648275862068965)","(17.0, 24.0, 21.272727272727273)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.5)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:08.090113,"(7.5, 8.0, 7.927272727272727)","(2.45, 3.4, 3.0648275862068965)","(17.0, 24.0, 21.272727272727273)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.5)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:09.431966,"(7.5, 8.0, 7.927272727272727)","(2.45, 3.4, 3.0648275862068965)","(17.0, 24.0, 21.272727272727273)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.5)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:10.771390,"(7.5, 8.0, 7.927272727272727)","(2.45, 3.4, 3.0648275862068965)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.96153846153846)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.159090909090908)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:12.066162,"(7.5, 8.0, 7.927272727272727)","(2.45, 3.4, 3.0648275862068965)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
