,Nortie Nortie Nz,Natty Pagger Nz,Eyre I Go Nz,Kar Manor Nz,Cochy Malc Nz,Aladdin Sane Nz,Stress Factor Nz
10-01-2023 11:57:49.925620,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:50.916686,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:51.874339,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:53.020616,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:54.003696,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:54.954215,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:55.978067,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:57.313717,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:58.366547,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:57:59.335410,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:00.355529,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:01.288454,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:02.213723,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:03.241416,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:04.209794,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
