,Anguilla,Skip On Home,No Bribes Thanks,Bodacious Brew,Ernesto,Lord Percy,Sheza Daydreama,Yankee Rockette
06-01-2023 12:44:46.890425,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 44.0)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:48.117284,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.81818181818181)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:49.383453,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.81818181818181)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:50.506914,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.81818181818181)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:51.617805,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.81818181818181)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:52.727572,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.81818181818181)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:53.976314,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.81818181818181)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:55.011570,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:56.062887,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:57.295306,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
