,Handsome Alert,What A Nose,Haras Rusty,Downpipe,Summer Holiday,Aerobic System,Betty Jo,Frostbite Hux
04-01-2023 14:06:57.245387,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 40.0, 23.125)"
04-01-2023 14:06:58.551141,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 40.0, 23.125)"
04-01-2023 14:06:59.638886,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 40.0, 29.200000000000003)"
04-01-2023 14:07:00.693660,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 40.0, 29.200000000000003)"
04-01-2023 14:07:01.787055,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 40.0, 29.200000000000003)"
04-01-2023 14:07:02.870150,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 40.0, 29.200000000000003)"
04-01-2023 14:07:04.047978,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 40.0, 38.2)"
04-01-2023 14:07:05.215110,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 38.2)"
04-01-2023 14:07:06.291929,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 38.2)"
04-01-2023 14:07:07.331837,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 38.2)"
04-01-2023 14:07:08.367690,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 38.2)"
04-01-2023 14:07:09.456030,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 38.2)"
04-01-2023 14:07:10.581949,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 38.2)"
04-01-2023 14:07:11.655122,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 38.2)"
04-01-2023 14:07:12.677787,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 38.2)"
