,Sutter Man,Childers Road,Bettor Beontoit Nz,Celestial Daybreak,Damysus,Bayonet Soldier,Ammicchi,Whoee Johnson,Our Major Jack Nz,Barney Fella
12-01-2023 16:22:15.981968,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:17.431628,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:18.968475,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:20.403651,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:21.913683,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:23.373833,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:24.712379,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:26.202127,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:27.479893,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:28.883832,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:30.386592,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:31.904755,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
12-01-2023 16:22:33.245079,"(5.5, 9.6, 7.14)","(4.8, 8.2, 6.16)","(8.0, 99999, 99990)","(61.0, 140.0, 115.71428571428571)","(12.0, 23.0, 17.75)","(101.0, 220.0, 191.42857142857144)","(10.0, 17.5, 14.42)","(8.0, 15.0, 11.5)","(2.6, 99999, 99990)","(12.0, 22.0, 17.4)"
