,See Me Balt,Daisy Moments,Savage Victor,What A Bomber,Miss Priddle,Showtime Holly,Fancy Kelly,Malis Gonzales
10-01-2023 20:28:48.363474,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:49.550747,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:50.768604,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:51.935993,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:53.123409,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:54.340498,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:55.506864,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:56.732895,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:57.950096,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:28:59.235588,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:00.513867,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:01.723169,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:02.932745,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:04.166036,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:05.360913,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:06.572402,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:07.729058,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:08.857329,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:10.041554,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
