,Prawn Topper,Gin And Vodka,Betty Boop,Deputy Mayor,Poor Wally
08-01-2023 18:51:40.197405,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:51:41.130085,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:51:42.059109,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:51:43.107176,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:44.015285,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:44.875738,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:45.923363,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:47.021258,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:48.100589,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:49.163635,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:50.258198,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:51.329179,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:52.529375,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:53.321733,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:54.334491,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:55.349773,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:56.332989,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:57.352026,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:58.252033,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:51:59.188319,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:00.239275,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:01.202817,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
