,Shes Roses,Lektra Dish,Blazin Cool,Devils Spirit,Mt View Jewel,Dr Earnie,Establishment
07-01-2023 09:55:23.613825,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 18.0, 14.8)"
07-01-2023 09:55:24.765046,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 18.0, 14.8)"
07-01-2023 09:55:25.863370,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 18.0, 12.444444444444445)"
07-01-2023 09:55:26.968998,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:28.017530,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:28.975042,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:30.019645,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:31.212315,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:32.433154,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:33.579800,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:34.663171,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:35.736206,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:36.720622,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:37.746700,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:38.796430,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:39.834808,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:41.020730,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
07-01-2023 09:55:42.143009,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.5, 12.444444444444445)"
