,Jet Impact,Hey Grace,Circus Craze,Global Glory,Garside,Go Go Snow,Petina,Devonish Girl
10-01-2023 12:35:54.102609,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:35:55.232403,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:35:56.317110,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:35:57.386359,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:35:58.478004,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:35:59.603200,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:36:00.743437,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:36:01.834703,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:36:02.894647,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
10-01-2023 12:36:04.002764,"(4.6, 7.4, 6.257142857142858)","(10.0, 18.5, 16.816666666666666)","(11.0, 36.0, 33.36)","(4.8, 19.0, 14.40625)","(2.7, 8.0, 3.065142857142857)","(12.0, 140.0, 123.8125)","(10.0, 18.5, 16.68)","(7.5, 13.0, 12.142857142857142)"
